Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Venezuela,2020-03-31,135.0,4.28,39.0,3.0,0.022222222000000003,0.0,0.0
Venezuela,2020-04-01,143.0,4.53,41.0,3.0,0.02097902097902098,8.0,0.0
Venezuela,2020-04-02,143.0,4.53,41.0,3.0,0.02097902097902098,0.0,0.0
Venezuela,2020-04-03,144.0,4.56,43.0,3.0,0.02083333333333333,1.0,0.0
Venezuela,2020-04-07,159.0,4.93,52.0,7.0,0.0440251572327044,15.0,4.0
Venezuela,2020-04-10,171.0,5.31,84.0,9.0,0.05263157894736842,12.0,2.0
Venezuela,2020-04-11,175.0,5.43,84.0,9.0,0.051428571428571435,4.0,0.0
Venezuela,2020-04-12,175.0,5.43,84.0,9.0,0.051428571428571435,0.0,0.0
Venezuela,2020-04-14,189.0,5.87,110.0,9.0,0.047619047619047616,14.0,0.0
Venezuela,2020-04-17,197.0,6.11,111.0,9.0,0.045685279187817264,8.0,0.0
Venezuela,2020-04-18,204.0,6.33,111.0,9.0,0.04411764705882353,7.0,0.0
Venezuela,2020-04-20,256.0,7.95,117.0,9.0,0.03515625,52.0,0.0
Venezuela,2020-04-22,285.0,8.85,117.0,10.0,0.03508771929824561,29.0,1.0
Venezuela,2020-04-23,298.0,9.25,122.0,10.0,0.03355704697986577,13.0,0.0
Venezuela,2020-04-24,311.0,9.65,126.0,10.0,0.03215434083601286,13.0,0.0
Venezuela,2020-04-25,318.0,9.87,132.0,10.0,0.031446540880503145,7.0,0.0
Venezuela,2020-04-26,323.0,10.02,132.0,10.0,0.030959752321981424,5.0,0.0
Venezuela,2020-04-27,325.0,10.09,137.0,10.0,0.030769230769230767,2.0,0.0
Venezuela,2020-04-28,325.0,10.09,137.0,10.0,0.030769230769230767,0.0,0.0
Venezuela,2020-04-29,329.0,10.21,142.0,10.0,0.030395136778115506,4.0,0.0
Venezuela,2020-04-30,329.0,10.21,142.0,10.0,0.030395136778115506,0.0,0.0
Venezuela,2020-05-01,333.0,10.0,142.0,10.0,0.03003003003003003,4.0,0.0
Venezuela,2020-05-02,335.0,10.0,148.0,10.0,0.02985074626865672,2.0,0.0
Venezuela,2020-05-03,345.0,11.0,148.0,10.0,0.028985507246376805,10.0,0.0
Venezuela,2020-05-04,345.0,11.0,148.0,10.0,0.028985507246376805,0.0,0.0
Venezuela,2020-05-05,361.0,11.0,158.0,10.0,0.027700831024930747,16.0,0.0
Venezuela,2020-05-06,361.0,11.0,158.0,10.0,0.027700831024930747,0.0,0.0
Venezuela,2020-05-07,367.0,11.0,164.0,10.0,0.027247956403269755,6.0,0.0
Venezuela,2020-05-08,379.0,12.0,176.0,10.0,0.02638522427440633,12.0,0.0
Venezuela,2020-05-09,388.0,12.0,190.0,10.0,0.02577319587628866,9.0,0.0
Venezuela,2020-05-10,402.0,12.0,190.0,10.0,0.02487562189054726,14.0,0.0
Venezuela,2020-05-11,414.0,13.0,190.0,10.0,0.024154589371980683,12.0,0.0
Venezuela,2020-05-12,422.0,13.0,205.0,10.0,0.02369668246445497,8.0,0.0
Venezuela,2020-05-13,423.0,13.0,220.0,10.0,0.023640661938534282,1.0,0.0
Venezuela,2020-05-15,455.0,14.0,220.0,10.0,0.02197802197802198,32.0,0.0
Venezuela,2020-05-16,459.0,14.0,229.0,10.0,0.02178649237472767,4.0,0.0
Venezuela,2020-05-17,459.0,14.0,229.0,10.0,0.02178649237472767,0.0,0.0
Venezuela,2020-05-18,541.0,17.0,241.0,10.0,0.018484288354898338,82.0,0.0
Venezuela,2020-05-19,618.0,19.0,253.0,10.0,0.016181229773462782,77.0,0.0
Venezuela,2020-05-20,618.0,19.0,253.0,10.0,0.016181229773462782,0.0,0.0
,2020-05-21,,,,,,,
Venezuela,2020-05-22,882.0,27.0,262.0,10.0,0.011337868480725623,,
Venezuela,2020-05-23,944.0,29.0,262.0,10.0,0.01059322033898305,62.0,0.0
Venezuela,2020-05-24,944.0,29.0,262.0,10.0,0.01059322033898305,0.0,0.0
Venezuela,2020-05-25,1121.0,35.0,262.0,10.0,0.008920606601248885,177.0,0.0
Venezuela,2020-05-26,1121.0,35.0,262.0,10.0,0.008920606601248885,0.0,0.0
Venezuela,2020-05-27,1211.0,38.0,302.0,11.0,0.009083402146985962,90.0,1.0
Venezuela,2020-05-28,1245.0,39.0,302.0,11.0,0.008835341365461847,34.0,0.0
Venezuela,2020-05-29,1327.0,41.0,302.0,11.0,0.008289374529012811,82.0,0.0
Venezuela,2020-05-30,1370.0,43.0,302.0,14.0,0.01021897810218978,43.0,3.0
Venezuela,2020-05-31,1459.0,45.0,302.0,14.0,0.009595613433858808,89.0,0.0
Venezuela,2020-06-01,1459.0,45.0,302.0,14.0,0.009595613433858808,0.0,0.0
Venezuela,2020-06-02,1662.0,52.0,302.0,17.0,0.010228640192539109,203.0,3.0
Venezuela,2020-06-03,1819.0,56.0,334.0,18.0,0.0099,157.0,1.0
Venezuela,2020-06-04,1952.0,61.0,334.0,20.0,0.0102,133.0,2.0
Venezuela,2020-06-05,2087.0,65.0,385.0,20.0,0.0096,135.0,0.0
