Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
,2020-03-31,,,,,,,,0.0,0.0
,2020-04-01,,,,,,,,,
,2020-04-02,,,,,,,,,
,2020-04-03,,,,,,,,,
,2020-04-07,,,,,,,,,
,2020-04-10,,,,,,,,,
Yemen,2020-04-11,1.0,0.03,0.0,0.0,0.0,,,,
Yemen,2020-04-12,1.0,0.03,0.0,0.0,0.0,,,0.0,0.0
Yemen,2020-04-14,1.0,0.03,0.0,0.0,0.0,,,0.0,0.0
Yemen,2020-04-17,1.0,0.03,0.0,0.0,0.0,,,0.0,0.0
Yemen,2020-04-18,1.0,0.03,0.0,0.0,0.0,,,0.0,0.0
Yemen,2020-04-20,1.0,0.03,0.0,0.0,0.0,,,0.0,0.0
Yemen,2020-04-22,1.0,0.03,0.0,0.0,0.0,,,0.0,0.0
Yemen,2020-04-23,1.0,0.03,0.0,0.0,0.0,,,0.0,0.0
Yemen,2020-04-24,1.0,0.03,1.0,0.0,0.0,,,0.0,0.0
Yemen,2020-04-25,1.0,0.03,1.0,0.0,0.0,,,0.0,0.0
Yemen,2020-04-26,1.0,0.03,1.0,0.0,0.0,,,0.0,0.0
Yemen,2020-04-27,1.0,0.03,1.0,0.0,0.0,,,0.0,0.0
Yemen,2020-04-28,1.0,0.03,1.0,0.0,0.0,,,0.0,0.0
Yemen,2020-04-29,1.0,0.03,1.0,0.0,0.0,,,0.0,0.0
Yemen,2020-04-30,1.0,0.03,1.0,0.0,0.0,,,0.0,0.0
Yemen,2020-05-01,6.0,0.0,1.0,2.0,0.3333333333333333,,,5.0,2.0
Yemen,2020-05-02,7.0,0.0,1.0,2.0,0.2857142857142857,,,1.0,0.0
Yemen,2020-05-03,10.0,0.0,1.0,2.0,0.2,,,3.0,0.0
Yemen,2020-05-04,10.0,0.0,1.0,2.0,0.2,,,0.0,0.0
Yemen,2020-05-05,12.0,0.0,1.0,2.0,0.16666666666666666,,,2.0,0.0
Yemen,2020-05-06,21.0,1.0,1.0,3.0,0.14285714285714285,,,9.0,1.0
Yemen,2020-05-07,25.0,1.0,1.0,5.0,0.2,,,4.0,2.0
Yemen,2020-05-08,25.0,1.0,1.0,5.0,0.2,,,0.0,0.0
Yemen,2020-05-09,34.0,1.0,1.0,7.0,0.2058823529411765,,,9.0,2.0
Yemen,2020-05-10,34.0,1.0,1.0,7.0,0.2058823529411765,,,0.0,0.0
Yemen,2020-05-11,51.0,2.0,1.0,8.0,0.1568627450980392,,,17.0,1.0
Yemen,2020-05-12,56.0,2.0,1.0,9.0,0.16071428571428573,,,5.0,1.0
Yemen,2020-05-13,65.0,2.0,1.0,10.0,0.15384615384615385,,,9.0,1.0
Yemen,2020-05-15,85.0,3.0,1.0,12.0,0.1411764705882353,,,20.0,2.0
Yemen,2020-05-16,106.0,4.0,1.0,15.0,0.14150943396226415,,,21.0,3.0
Yemen,2020-05-17,106.0,4.0,1.0,15.0,0.14150943396226415,,,0.0,0.0
Yemen,2020-05-18,128.0,4.0,1.0,20.0,0.15625,,,22.0,5.0
Yemen,2020-05-19,130.0,4.0,1.0,20.0,0.15384615384615385,,,2.0,0.0
Yemen,2020-05-20,167.0,6.0,5.0,28.0,0.16766467065868262,,,37.0,8.0
,2020-05-21,,,,,,,,,
Yemen,2020-05-22,193.0,6.0,5.0,33.0,0.17098445595854922,,,,
Yemen,2020-05-23,205.0,7.0,6.0,33.0,0.16097560975609754,,,12.0,0.0
Yemen,2020-05-24,212.0,7.0,6.0,39.0,0.18396226415094336,,,7.0,6.0
Yemen,2020-05-25,222.0,7.0,10.0,42.0,0.1891891891891892,,,10.0,3.0
Yemen,2020-05-26,233.0,8.0,10.0,44.0,0.1888412017167382,,,11.0,2.0
Yemen,2020-05-27,249.0,8.0,10.0,49.0,0.19678714859437751,,,16.0,5.0
Yemen,2020-05-28,255.0,9.0,10.0,53.0,0.207843137254902,,,6.0,4.0
Yemen,2020-05-29,278.0,9.0,11.0,57.0,0.2050359712230216,,,23.0,4.0
Yemen,2020-05-30,283.0,9.0,11.0,65.0,0.22968197879858654,,,5.0,8.0
Yemen,2020-05-31,310.0,10.0,13.0,77.0,0.24838709677419354,,,27.0,12.0
Yemen,2020-06-01,323.0,11.0,14.0,80.0,0.2476780185758514,,,13.0,3.0
Yemen,2020-06-02,354.0,12.0,14.0,84.0,0.23728813559322035,,,31.0,4.0
Yemen,2020-06-03,399.0,13.0,15.0,87.0,0.218,,,45.0,3.0
Yemen,2020-06-04,419.0,14.0,17.0,95.0,0.2267,,,20.0,8.0
Yemen,2020-06-05,453.0,15.0,17.0,103.0,0.2274,,,34.0,8.0
Yemen,2020-06-06,469.0,16.0,23.0,111.0,0.2367,,,16.0,8.0
Yemen,2020-06-07,482.0,16.0,23.0,111.0,0.2303,,,13.0,0.0
Yemen,2020-06-08,484.0,16.0,23.0,112.0,0.2314,,,2.0,1.0
Yemen,2020-06-09,496.0,17.0,23.0,112.0,0.2258,,,12.0,0.0
Yemen,2020-06-10,524.0,18.0,23.0,127.0,0.2424,,,28.0,15.0
Yemen,2020-06-12,591.0,20.0,23.0,136.0,0.2301,,,67.0,9.0
Yemen,2020-06-13,632.0,21.0,28.0,139.0,0.2199,,,41.0,3.0
Yemen,2020-06-14,705.0,24.0,39.0,160.0,0.22699999999999998,,,73.0,21.0
Yemen,2020-06-15,705.0,24.0,39.0,160.0,0.22699999999999998,,,0.0,0.0
Yemen,2020-06-16,844.0,28.0,79.0,208.0,0.2464,,,139.0,48.0
Yemen,2020-06-17,885.0,30.0,91.0,214.0,0.2418,,,41.0,6.0
Yemen,2020-06-18,902.0,30.0,271.0,244.0,0.2705,,,17.0,30.0
Yemen,2020-06-19,909.0,30.0,273.0,248.0,0.2728,,,7.0,4.0
Yemen,2020-06-20,919.0,31.0,288.0,251.0,0.2731,,,10.0,3.0
