Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Dominican Republic,2020-03-31,901.0,85.03,3.0,42.0,0.046614872,0.0,0.0
Dominican Republic,2020-04-01,1019.0,96.16,5.0,51.0,0.05004906771344456,118.0,9.0
Dominican Republic,2020-04-02,1284.0,121.17,9.0,57.0,0.04439252336448598,265.0,6.0
Dominican Republic,2020-04-03,1380.0,130.23,16.0,60.0,0.043478260869565216,96.0,3.0
Dominican Republic,2020-04-07,1828.0,176.48,17.0,86.0,0.04704595185995624,448.0,26.0
Dominican Republic,2020-04-10,2349.0,226.77,80.0,118.0,0.050234142188165166,521.0,32.0
Dominican Republic,2020-04-11,2620.0,252.94,98.0,126.0,0.04809160305343512,271.0,8.0
Dominican Republic,2020-04-12,2759.0,266.36,108.0,135.0,0.048930772018847414,139.0,9.0
Dominican Republic,2020-04-14,3167.0,305.74,152.0,176.0,0.05557309756867698,408.0,41.0
Dominican Republic,2020-04-17,3755.0,362.51,215.0,196.0,0.05219707057256991,588.0,20.0
Dominican Republic,2020-04-18,4126.0,398.33,268.0,200.0,0.048473097430925836,371.0,4.0
Dominican Republic,2020-04-20,4680.0,451.81,363.0,226.0,0.048290598290598286,554.0,26.0
Dominican Republic,2020-04-22,5044.0,486.95,463.0,245.0,0.0485725614591594,364.0,19.0
Dominican Republic,2020-04-23,5300.0,511.67,581.0,260.0,0.049056603773584916,256.0,15.0
Dominican Republic,2020-04-24,5543.0,535.13,674.0,265.0,0.04780804618437669,243.0,5.0
Dominican Republic,2020-04-25,5749.0,555.01,763.0,267.0,0.04644285962776135,206.0,2.0
Dominican Republic,2020-04-26,5926.0,572.1,822.0,273.0,0.04606817414782315,177.0,6.0
Dominican Republic,2020-04-27,6135.0,592.28,910.0,278.0,0.04531377343113285,209.0,5.0
Dominican Republic,2020-04-28,6293.0,607.53,993.0,282.0,0.04481169553472112,158.0,4.0
Dominican Republic,2020-04-29,6416.0,619.41,1165.0,286.0,0.044576059850374064,123.0,4.0
Dominican Republic,2020-04-30,6416.0,619.41,1165.0,286.0,0.044576059850374064,0.0,0.0
Dominican Republic,2020-05-01,6972.0,673.0,1301.0,301.0,0.04317269076305221,556.0,15.0
Dominican Republic,2020-05-02,7288.0,704.0,1387.0,313.0,0.042947310647639965,316.0,12.0
Dominican Republic,2020-05-03,7578.0,732.0,1481.0,326.0,0.043019266297176034,290.0,13.0
Dominican Republic,2020-05-04,7578.0,732.0,1481.0,326.0,0.043019266297176034,0.0,0.0
Dominican Republic,2020-05-05,8235.0,795.0,1771.0,346.0,0.04201578627808136,657.0,20.0
Dominican Republic,2020-05-06,8480.0,819.0,1905.0,354.0,0.04174528301886792,245.0,8.0
Dominican Republic,2020-05-07,8807.0,850.0,1989.0,362.0,0.041103667537186334,327.0,8.0
Dominican Republic,2020-05-08,9095.0,878.0,2064.0,373.0,0.04101154480483783,288.0,11.0
Dominican Republic,2020-05-09,9376.0,905.0,2286.0,380.0,0.04052901023890785,281.0,7.0
Dominican Republic,2020-05-10,9882.0,954.0,2584.0,385.0,0.03895972475207448,506.0,5.0
Dominican Republic,2020-05-11,10347.0,999.0,2763.0,388.0,0.037498791920363386,465.0,3.0
Dominican Republic,2020-05-12,10634.0,1027.0,2870.0,393.0,0.036956930599962384,287.0,5.0
Dominican Republic,2020-05-13,10900.0,1052.0,3221.0,402.0,0.036880733944954135,266.0,9.0
Dominican Republic,2020-05-15,11320.0,1093.0,3351.0,422.0,0.037279151943462895,420.0,20.0
Dominican Republic,2020-05-16,11739.0,1133.0,33557.0,424.0,0.03611891983985007,419.0,2.0
Dominican Republic,2020-05-17,12110.0,1169.0,3726.0,428.0,0.03534269199009083,371.0,4.0
Dominican Republic,2020-05-18,12314.0,1189.0,5847.0,428.0,0.03475718694169238,204.0,0.0
Dominican Republic,2020-05-19,12725.0,1228.0,6613.0,434.0,0.034106090373280946,411.0,6.0
Dominican Republic,2020-05-20,13223.0,1277.0,6685.0,441.0,0.03335097935415564,498.0,7.0
,2020-05-21,,,,,,,
Dominican Republic,2020-05-22,13657.0,1318.0,7366.0,448.0,0.032803690415171706,,
Dominican Republic,2020-05-23,13989.0,1351.0,7572.0,456.0,0.03259704053184645,332.0,8.0
Dominican Republic,2020-05-24,14422.0,1392.0,7854.0,458.0,0.03175703785882679,433.0,2.0
Dominican Republic,2020-05-25,14801.0,1429.0,8133.0,458.0,0.03094385514492264,379.0,0.0
Dominican Republic,2020-05-26,15073.0,1455.0,8285.0,460.0,0.030518145027532674,272.0,2.0
Dominican Republic,2020-05-27,15264.0,1474.0,8534.0,468.0,0.03066037735849057,191.0,8.0
Dominican Republic,2020-05-28,15723.0,1518.0,8790.0,474.0,0.03014691852699866,459.0,6.0
Dominican Republic,2020-05-29,16068.0,1551.0,8952.0,485.0,0.03018421707742096,345.0,11.0
Dominican Republic,2020-05-30,16068.0,1551.0,8952.0,485.0,0.03018421707742096,0.0,0.0
Dominican Republic,2020-05-31,16908.0,1632.0,9557.0,498.0,0.02945351312987935,840.0,13.0
Dominican Republic,2020-06-01,16908.0,1632.0,9557.0,498.0,0.02945351312987935,0.0,0.0
Dominican Republic,2020-06-02,17572.0,1696.0,10893.0,502.0,0.028568176644661963,664.0,4.0
Dominican Republic,2020-06-03,17572.0,1696.0,10893.0,502.0,0.0286,0.0,0.0
Dominican Republic,2020-06-04,18040.0,1742.0,11224.0,516.0,0.0286,468.0,14.0
Dominican Republic,2020-06-05,18319.0,1769.0,11474.0,520.0,0.0284,279.0,4.0
Dominican Republic,2020-06-06,18708.0,1806.0,11736.0,525.0,0.0281,389.0,5.0
Dominican Republic,2020-06-07,19195.0,1853.0,11919.0,536.0,0.0279,487.0,11.0
Dominican Republic,2020-06-08,19600.0,1892.0,12007.0,538.0,0.0274,405.0,2.0
Dominican Republic,2020-06-09,20129.0,1943.0,12158.0,539.0,0.0268,529.0,1.0
Dominican Republic,2020-06-10,20415.0,1971.0,12208.0,544.0,0.0266,286.0,5.0
Dominican Republic,2020-06-12,21437.0,2070.0,13541.0,561.0,0.0262,1022.0,17.0
Dominican Republic,2020-06-13,22008.0,2125.0,12754.0,568.0,0.0258,571.0,7.0
Dominican Republic,2020-06-14,22572.0,2179.0,13084.0,577.0,0.0256,564.0,9.0
Dominican Republic,2020-06-15,22572.0,2179.0,13084.0,577.0,0.0256,0.0,0.0
Dominican Republic,2020-06-16,23271.0,2247.0,14025.0,605.0,0.026000000000000002,699.0,28.0
Dominican Republic,2020-06-17,23686.0,2287.0,14133.0,615.0,0.026000000000000002,415.0,10.0
Dominican Republic,2020-06-18,24105.0,2327.0,14216.0,633.0,0.0263,419.0,18.0
Dominican Republic,2020-06-19,24645.0,2379.0,14293.0,635.0,0.0258,540.0,2.0
Dominican Republic,2020-06-20,25068.0,2420.0,14605.0,647.0,0.0258,423.0,12.0
Dominican Republic,2020-06-21,25778.0,2489.0,14957.0,655.0,0.0254,710.0,8.0
Dominican Republic,2020-06-22,26677.0,2575.0,15138.0,662.0,0.0248,899.0,7.0
Dominican Republic,2020-06-23,27370.0,2642.0,15338.0,669.0,0.0244,693.0,7.0
Dominican Republic,2020-06-24,27936.0,2697.0,15551.0,675.0,0.0242,566.0,6.0
Dominican Republic,2020-06-25,28631.0,2764.0,16006.0,691.0,0.0241,695.0,16.0
Dominican Republic,2020-06-26,29141.0,2813.0,16223.0,698.0,0.024,510.0,7.0
Dominican Republic,2020-06-27,29764.0,2873.0,16357.0,712.0,0.0239,623.0,14.0
Dominican Republic,2020-06-28,30619.0,2956.0,16666.0,718.0,0.0234,855.0,6.0
Dominican Republic,2020-06-29,31373.0,3029.0,17142.0,726.0,0.0231,754.0,8.0
Dominican Republic,2020-06-30,31816.0,3072.0,17280.0,733.0,0.023,443.0,7.0
Dominican Republic,2020-07-01,32568.0,3144.0,17580.0,747.0,0.0229,752.0,14.0
Dominican Republic,2020-07-02,33387.0,3223.0,17904.0,754.0,0.0226,819.0,7.0
Dominican Republic,2020-07-03,34197.0,3301.0,0.0,765.0,0.0224,810.0,11.0
Dominican Republic,2020-07-04,35148.0,3393.0,18392.0,775.0,0.022000000000000002,951.0,10.0
Dominican Republic,2020-07-05,36184.0,3493.0,18602.0,786.0,0.0217,1036.0,11.0
Dominican Republic,2020-07-06,37425.0,3613.0,18943.0,794.0,0.0212,1241.0,8.0
Dominican Republic,2020-07-07,38128.0,3681.0,19489.0,804.0,0.0211,703.0,10.0
Dominican Republic,2020-07-09,39588.0,3822.0,20056.0,829.0,0.0209,1460.0,25.0
Dominican Republic,2020-07-10,40790.0,3938.0,0.0,842.0,0.0206,1202.0,13.0
Dominican Republic,2020-07-11,41915.0,4047.0,20830.0,864.0,0.0206,1125.0,22.0
Dominican Republic,2020-07-12,43114.0,4162.0,0.0,880.0,0.0204,1199.0,16.0
Dominican Republic,2020-07-13,44532.0,4299.0,0.0,897.0,0.0201,1418.0,17.0
Dominican Republic,2020-07-14,45506.0,4393.0,22441.0,903.0,0.0198,974.0,6.0
Dominican Republic,2020-07-15,46305.0,4470.0,0.0,910.0,0.0197,799.0,7.0
Dominican Republic,2020-07-16,47671.0,4602.0,0.0,929.0,0.0195,1366.0,19.0
Dominican Republic,2020-07-18,50113.0,4838.0,0.0,942.0,0.0188,2442.0,13.0
Dominican Republic,2020-07-19,51519.0,4974.0,24607.0,971.0,0.0188,1406.0,29.0
Dominican Republic,2020-07-19,51519.0,4974.0,24607.0,971.0,0.0188,0.0,0.0
Dominican Republic,2020-07-21,53956.0,5209.0,25561.0,993.0,0.0184,2437.0,22.0
Dominican Republic,2020-07-22,54797.0,5290.0,25976.0,999.0,0.0182,841.0,6.0
Dominican Republic,2020-07-23,56043.0,5410.0,26466.0,1005.0,0.0179,1246.0,6.0
Dominican Republic,2020-07-24,56043.0,5410.0,26466.0,1005.0,0.0179,0.0,0.0
Dominican Republic,2020-07-25,59077.0,5703.0,27625.0,1036.0,0.0175,3034.0,31.0
Dominican Republic,2020-07-26,60896.0,5879.0,27980.0,1055.0,0.0173,1819.0,19.0
Dominican Republic,2020-07-27,62908.0,6073.0,28603.0,1063.0,0.0169,2012.0,8.0
