Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Slovenia,2020-03-31,756.0,431.16,10.0,11.0,0.014550265,0.0,0.0
Slovenia,2020-04-01,841.0,479.64,10.0,15.0,0.0178359096313912,85.0,4.0
Slovenia,2020-04-02,841.0,479.64,10.0,15.0,0.0178359096313912,0.0,0.0
Slovenia,2020-04-03,897.0,511.58,10.0,16.0,0.017837235228539576,56.0,1.0
Slovenia,2020-04-07,1021.0,487.57,84.0,30.0,0.029382957884427036,124.0,14.0
Slovenia,2020-04-10,1124.0,536.76,128.0,43.0,0.03825622775800712,103.0,13.0
Slovenia,2020-04-11,1160.0,553.95,137.0,45.0,0.03879310344827586,36.0,2.0
Slovenia,2020-04-12,1188.0,567.32,148.0,50.0,0.04208754208754209,28.0,5.0
Slovenia,2020-04-14,1212.0,578.78,152.0,55.0,0.04537953795379538,24.0,5.0
Slovenia,2020-04-17,1269.0,606.0,174.0,61.0,0.04806934594168637,57.0,6.0
Slovenia,2020-04-18,1304.0,622.71,174.0,66.0,0.05061349693251534,35.0,5.0
Slovenia,2020-04-20,1330.0,635.13,192.0,74.0,0.055639097744360905,26.0,8.0
Slovenia,2020-04-22,1344.0,641.82,197.0,77.0,0.05729166666666665,14.0,3.0
Slovenia,2020-04-23,1353.0,646.11,197.0,79.0,0.058388765705838876,9.0,2.0
Slovenia,2020-04-24,1366.0,652.32,197.0,79.0,0.05783308931185945,13.0,0.0
Slovenia,2020-04-25,1373.0,655.66,211.0,80.0,0.058266569555717414,7.0,1.0
Slovenia,2020-04-26,1388.0,662.83,219.0,81.0,0.058357348703170026,15.0,1.0
Slovenia,2020-04-27,1396.0,666.65,221.0,82.0,0.05873925501432665,8.0,1.0
Slovenia,2020-04-28,1402.0,669.51,221.0,83.0,0.059201141226818826,6.0,1.0
Slovenia,2020-04-29,1408.0,672.38,223.0,86.0,0.06107954545454545,6.0,3.0
Slovenia,2020-04-30,1408.0,672.38,223.0,86.0,0.06107954545454545,0.0,0.0
Slovenia,2020-05-01,1429.0,682.0,233.0,91.0,0.06368089573128062,21.0,5.0
Slovenia,2020-05-02,1434.0,685.0,233.0,92.0,0.06415620641562064,5.0,1.0
Slovenia,2020-05-03,1439.0,687.0,239.0,94.0,0.06532314107018762,5.0,2.0
Slovenia,2020-05-04,1439.0,687.0,239.0,94.0,0.06532314107018762,0.0,0.0
Slovenia,2020-05-05,1439.0,687.0,241.0,96.0,0.06671299513551078,0.0,2.0
Slovenia,2020-05-06,1445.0,690.0,244.0,98.0,0.06782006920415225,6.0,2.0
Slovenia,2020-05-07,1448.0,691.0,246.0,99.0,0.06837016574585636,3.0,1.0
Slovenia,2020-05-08,1449.0,692.0,247.0,99.0,0.06832298136645963,1.0,0.0
Slovenia,2020-05-09,1450.0,692.0,252.0,100.0,0.06896551724137931,1.0,1.0
Slovenia,2020-05-10,1454.0,694.0,255.0,101.0,0.06946354883081156,4.0,1.0
Slovenia,2020-05-11,1457.0,696.0,256.0,102.0,0.07000686341798215,3.0,1.0
Slovenia,2020-05-12,1460.0,697.0,256.0,102.0,0.06986301369863014,3.0,0.0
Slovenia,2020-05-13,1461.0,698.0,259.0,102.0,0.06981519507186858,1.0,0.0
Slovenia,2020-05-15,1464.0,699.0,267.0,103.0,0.0703551912568306,3.0,1.0
Slovenia,2020-05-16,1465.0,700.0,270.0,103.0,0.07030716723549488,1.0,0.0
Slovenia,2020-05-17,1465.0,700.0,272.0,103.0,0.07030716723549488,0.0,0.0
Slovenia,2020-05-18,1466.0,700.0,273.0,104.0,0.07094133697135062,1.0,1.0
Slovenia,2020-05-19,1466.0,700.0,274.0,104.0,0.07094133697135062,0.0,0.0
Slovenia,2020-05-20,1467.0,701.0,1338.0,104.0,0.07089297886843901,1.0,0.0
,2020-05-21,,,,,,,
Slovenia,2020-05-22,1468.0,701.0,1340.0,106.0,0.07220708446866485,,
Slovenia,2020-05-23,1468.0,701.0,1340.0,106.0,0.07220708446866485,0.0,0.0
Slovenia,2020-05-24,1468.0,701.0,1340.0,106.0,0.07220708446866485,0.0,0.0
Slovenia,2020-05-25,1468.0,701.0,1340.0,107.0,0.07288828337874659,0.0,1.0
Slovenia,2020-05-26,1469.0,702.0,1340.0,107.0,0.07283866575901975,1.0,0.0
Slovenia,2020-05-27,1469.0,702.0,1346.0,108.0,0.07351940095302928,0.0,1.0
Slovenia,2020-05-28,1471.0,702.0,1354.0,108.0,0.07341944255608429,2.0,0.0
Slovenia,2020-05-29,1473.0,703.0,1356.0,108.0,0.07331975560081466,2.0,0.0
Slovenia,2020-05-30,1473.0,703.0,1357.0,108.0,0.07331975560081466,0.0,0.0
Slovenia,2020-05-31,1473.0,703.0,1357.0,108.0,0.07331975560081466,0.0,0.0
Slovenia,2020-06-01,1473.0,703.0,1357.0,108.0,0.07331975560081466,0.0,0.0
Slovenia,2020-06-02,1473.0,703.0,1358.0,109.0,0.07399864222674814,0.0,1.0
Slovenia,2020-06-03,1475.0,704.0,1358.0,109.0,0.0739,2.0,0.0
Slovenia,2020-06-04,1477.0,705.0,1358.0,109.0,0.0738,2.0,0.0
Slovenia,2020-06-05,1477.0,705.0,1358.0,109.0,0.0738,0.0,0.0
Slovenia,2020-06-06,1479.0,706.0,1359.0,109.0,0.0737,2.0,0.0
Slovenia,2020-06-07,1484.0,709.0,1359.0,109.0,0.0735,5.0,0.0
Slovenia,2020-06-08,1485.0,709.0,1359.0,109.0,0.0734,1.0,0.0
Slovenia,2020-06-09,1485.0,709.0,1359.0,109.0,0.0734,0.0,0.0
Slovenia,2020-06-10,1486.0,710.0,1359.0,109.0,0.0734,1.0,0.0
Slovenia,2020-06-12,1488.0,711.0,1359.0,109.0,0.0733,2.0,0.0
Slovenia,2020-06-13,1490.0,712.0,1359.0,109.0,0.0732,2.0,0.0
Slovenia,2020-06-14,1492.0,712.0,1359.0,109.0,0.0731,2.0,0.0
Slovenia,2020-06-15,1492.0,712.0,1359.0,109.0,0.0731,0.0,0.0
Slovenia,2020-06-16,1496.0,714.0,1359.0,109.0,0.0729,4.0,0.0
Slovenia,2020-06-17,1499.0,716.0,1359.0,109.0,0.0727,3.0,0.0
Slovenia,2020-06-18,1503.0,718.0,1359.0,109.0,0.0725,4.0,0.0
Slovenia,2020-06-19,1511.0,722.0,1359.0,109.0,0.0721,8.0,0.0
Slovenia,2020-06-20,1513.0,723.0,1359.0,109.0,0.07200000000000001,2.0,0.0
Slovenia,2020-06-21,1519.0,725.0,1359.0,109.0,0.0718,6.0,0.0
Slovenia,2020-06-22,1520.0,726.0,1359.0,109.0,0.0717,1.0,0.0
Slovenia,2020-06-23,1520.0,726.0,1359.0,109.0,0.0717,0.0,0.0
Slovenia,2020-06-24,1521.0,726.0,1376.0,109.0,0.0717,1.0,0.0
Slovenia,2020-06-25,1541.0,736.0,1376.0,109.0,0.0707,20.0,0.0
Slovenia,2020-06-26,1547.0,739.0,1376.0,109.0,0.0705,6.0,0.0
Slovenia,2020-06-27,1558.0,744.0,1376.0,109.0,0.07,11.0,0.0
Slovenia,2020-06-28,1558.0,744.0,1376.0,109.0,0.07,0.0,0.0
Slovenia,2020-06-29,1581.0,755.0,1376.0,111.0,0.0702,23.0,2.0
Slovenia,2020-06-30,1585.0,757.0,1376.0,111.0,0.07,4.0,0.0
Slovenia,2020-07-01,1585.0,757.0,1376.0,111.0,0.07,0.0,0.0
Slovenia,2020-07-02,1600.0,764.0,0.0,111.0,0.0694,15.0,0.0
Slovenia,2020-07-03,1633.0,780.0,0.0,111.0,0.068,33.0,0.0
Slovenia,2020-07-04,1649.0,787.0,1376.0,111.0,0.0673,16.0,0.0
Slovenia,2020-07-05,1649.0,787.0,1376.0,111.0,0.0673,0.0,0.0
Slovenia,2020-07-06,1700.0,812.0,1376.0,111.0,0.0653,51.0,0.0
Slovenia,2020-07-07,1716.0,819.0,1384.0,111.0,0.0647,16.0,0.0
Slovenia,2020-07-09,1773.0,847.0,1384.0,111.0,0.0626,57.0,0.0
Slovenia,2020-07-10,1773.0,847.0,1384.0,111.0,0.0626,0.0,0.0
Slovenia,2020-07-11,1803.0,861.0,1384.0,111.0,0.0616,30.0,0.0
