Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
French Polynesia,2020-03-31,35.0,122.72,0.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-04-01,36.0,126.22,1.0,0.0,0.0,,,1.0,0.0
French Polynesia,2020-04-02,37.0,129.73,1.0,0.0,0.0,,,1.0,0.0
French Polynesia,2020-04-03,37.0,129.73,1.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-04-07,41.0,148.59,0.0,0.0,0.0,,,4.0,0.0
French Polynesia,2020-04-10,51.0,184.84,0.0,0.0,0.0,,,10.0,0.0
French Polynesia,2020-04-11,51.0,184.84,0.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-04-12,51.0,184.84,0.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-04-14,55.0,199.33,0.0,0.0,0.0,,,4.0,0.0
French Polynesia,2020-04-17,55.0,199.33,0.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-04-18,55.0,199.33,0.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-04-20,55.0,199.33,19.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-04-22,56.0,202.96,19.0,0.0,0.0,,,1.0,0.0
French Polynesia,2020-04-23,57.0,206.58,35.0,0.0,0.0,,,1.0,0.0
French Polynesia,2020-04-24,57.0,206.58,35.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-04-25,57.0,206.58,35.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-04-26,57.0,206.58,35.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-04-27,57.0,206.58,35.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-04-28,57.0,206.58,43.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-04-29,58.0,210.21,43.0,0.0,0.0,,,1.0,0.0
French Polynesia,2020-04-30,58.0,210.21,43.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-01,58.0,210.0,43.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-02,58.0,210.0,43.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-03,58.0,210.0,43.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-04,58.0,210.0,43.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-05,58.0,210.0,51.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-06,60.0,217.0,54.0,0.0,0.0,,,2.0,0.0
French Polynesia,2020-05-07,60.0,217.0,54.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-08,60.0,217.0,54.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-09,60.0,217.0,56.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-10,60.0,217.0,56.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-11,60.0,217.0,56.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-12,60.0,217.0,56.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-13,60.0,217.0,58.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-15,60.0,217.0,59.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-16,60.0,217.0,59.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-17,60.0,217.0,59.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-18,60.0,217.0,59.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-19,60.0,217.0,59.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-20,60.0,217.0,59.0,0.0,0.0,,,0.0,0.0
,2020-05-21,,,,,,,,,
French Polynesia,2020-05-22,60.0,217.0,59.0,0.0,0.0,,,,
French Polynesia,2020-05-23,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-24,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-25,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-26,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-27,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-28,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-29,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-30,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-05-31,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-01,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-02,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-03,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-04,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-05,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-06,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-07,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-08,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-09,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-10,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-12,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-13,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-14,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-15,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-16,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-17,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-18,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-19,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-20,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-21,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-22,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-23,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-24,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-25,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-26,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-27,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-28,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-29,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-06-30,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-07-01,60.0,217.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-07-02,62.0,225.0,0.0,0.0,0.0,,,2.0,0.0
French Polynesia,2020-07-03,62.0,225.0,0.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-07-04,62.0,225.0,0.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-07-05,62.0,225.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-07-06,62.0,225.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-07-07,62.0,225.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-07-09,62.0,225.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-07-10,62.0,225.0,60.0,0.0,0.0,,,0.0,0.0
French Polynesia,2020-07-11,62.0,225.0,60.0,0.0,0.0,,,0.0,0.0
