Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Belize,2020-03-31,3.0,6.39,0.0,0.0,0.0,,,0.0,0.0
Belize,2020-04-01,3.0,6.39,0.0,0.0,0.0,,,0.0,0.0
Belize,2020-04-02,3.0,6.39,0.0,0.0,0.0,,,0.0,0.0
Belize,2020-04-03,3.0,6.39,0.0,0.0,0.0,,,0.0,0.0
Belize,2020-04-07,7.0,17.14,0.0,1.0,0.14285714285714285,,,4.0,1.0
Belize,2020-04-10,8.0,19.58,0.0,1.0,0.125,,,1.0,0.0
Belize,2020-04-11,10.0,24.48,8.0,2.0,0.2,,,2.0,1.0
Belize,2020-04-12,13.0,31.82,11.0,2.0,0.15384615384615385,,,3.0,0.0
Belize,2020-04-14,18.0,44.07,0.0,2.0,0.1111111111111111,,,5.0,0.0
Belize,2020-04-17,18.0,44.07,0.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-04-18,18.0,44.07,0.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-04-20,18.0,44.07,0.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-04-22,18.0,44.07,0.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-04-23,18.0,44.07,2.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-04-24,18.0,44.07,5.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-04-25,18.0,44.07,5.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-04-26,18.0,44.07,5.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-04-27,18.0,44.07,5.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-04-28,18.0,44.07,5.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-04-29,18.0,44.07,5.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-04-30,18.0,44.07,5.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-05-01,18.0,44.0,5.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-05-02,18.0,44.0,5.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-05-03,18.0,44.0,13.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-05-04,18.0,44.0,13.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-05-05,18.0,44.0,14.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-05-06,18.0,44.0,16.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-05-07,18.0,44.0,16.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-05-08,18.0,44.0,16.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-05-09,18.0,44.0,16.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-05-10,18.0,44.0,16.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-05-11,18.0,44.0,16.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-05-12,18.0,44.0,16.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-05-13,18.0,44.0,16.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-05-15,18.0,44.0,16.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-05-16,18.0,44.0,16.0,2.0,0.1111111111111111,,,0.0,0.0
Belize,2020-05-17,18.0,44.0,16.0,2.0,0.1111111111111111,,,0.0,0.0
