Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewConfirmed,NewDeaths
Lithuania,2020-03-31,484.0,162.25,1.0,7.0,0.01446281,,0.0,0.0
Lithuania,2020-04-01,581.0,194.77,7.0,8.0,0.013769363166953529,,97.0,1.0
Lithuania,2020-04-02,581.0,194.77,7.0,8.0,0.013769363166953529,,0.0,0.0
Lithuania,2020-04-03,649.0,217.56,7.0,8.0,0.012326656394453005,,68.0,0.0
Lithuania,2020-04-07,843.0,301.78,8.0,14.0,0.0166073546856465,,194.0,6.0
Lithuania,2020-04-10,955.0,341.87,8.0,16.0,0.016753926701570682,,112.0,2.0
Lithuania,2020-04-11,999.0,357.62,8.0,17.0,0.01701701701701702,,44.0,1.0
Lithuania,2020-04-12,1026.0,367.29,54.0,23.0,0.022417153996101363,,27.0,6.0
Lithuania,2020-04-14,1070.0,383.04,101.0,24.0,0.022429906542056077,,44.0,1.0
Lithuania,2020-04-17,1128.0,403.8,178.0,32.0,0.02836879432624113,,58.0,8.0
Lithuania,2020-04-18,1231.0,440.67,228.0,33.0,0.026807473598700244,,103.0,1.0
Lithuania,2020-04-20,1298.0,464.65,242.0,33.0,0.025423728813559324,,67.0,0.0
Lithuania,2020-04-22,1350.0,483.27,298.0,38.0,0.02814814814814815,,52.0,5.0
Lithuania,2020-04-23,1370.0,490.43,357.0,38.0,0.02773722627737226,,20.0,0.0
Lithuania,2020-04-24,1410.0,504.75,430.0,40.0,0.02836879432624113,,40.0,2.0
Lithuania,2020-04-25,1410.0,504.75,430.0,40.0,0.02836879432624113,,0.0,0.0
Lithuania,2020-04-26,1426.0,510.48,460.0,41.0,0.028751753155680224,,16.0,1.0
Lithuania,2020-04-27,1449.0,518.71,474.0,41.0,0.02829537612146308,,23.0,0.0
Lithuania,2020-04-28,1449.0,518.71,474.0,41.0,0.02829537612146308,,0.0,0.0
Lithuania,2020-04-29,1449.0,518.71,536.0,44.0,0.03036576949620428,,0.0,3.0
Lithuania,2020-04-30,1449.0,518.71,536.0,44.0,0.03036576949620428,,0.0,0.0
Lithuania,2020-05-01,1385.0,496.0,589.0,45.0,0.032490974729241874,,0.0,1.0
Lithuania,2020-05-02,1399.0,501.0,594.0,45.0,0.032165832737669764,,14.0,0.0
Lithuania,2020-05-03,1406.0,503.0,632.0,46.0,0.03271692745376956,,7.0,1.0
Lithuania,2020-05-04,1406.0,503.0,632.0,46.0,0.03271692745376956,,0.0,0.0
Lithuania,2020-05-05,1419.0,508.0,638.0,46.0,0.03241719520789288,,13.0,0.0
Lithuania,2020-05-06,1423.0,509.0,678.0,46.0,0.03232607167955025,,4.0,0.0
Lithuania,2020-05-07,1428.0,511.0,718.0,48.0,0.03361344537815126,,5.0,2.0
Lithuania,2020-05-08,1433.0,513.0,739.0,49.0,0.03419399860432658,,5.0,1.0
Lithuania,2020-05-09,1436.0,514.0,765.0,49.0,0.034122562674094706,,3.0,0.0
Lithuania,2020-05-10,1444.0,517.0,828.0,49.0,0.03393351800554017,,8.0,0.0
Lithuania,2020-05-11,1485.0,532.0,833.0,50.0,0.03367003367003367,,41.0,1.0
Lithuania,2020-05-12,1485.0,532.0,833.0,50.0,0.03367003367003367,,0.0,0.0
Lithuania,2020-05-13,1505.0,539.0,908.0,54.0,0.035880398671096346,,20.0,4.0
Lithuania,2020-05-15,1511.0,541.0,934.0,54.0,0.0357379219060225,,6.0,0.0
Lithuania,2020-05-16,1523.0,545.0,965.0,54.0,0.03545633617859488,,12.0,0.0
Lithuania,2020-05-17,1534.0,549.0,988.0,55.0,0.03585397653194263,,11.0,1.0
Lithuania,2020-05-18,1541.0,552.0,997.0,56.0,0.036340038935756006,,7.0,1.0
Lithuania,2020-05-19,1547.0,554.0,997.0,59.0,0.03813833225597932,,6.0,3.0
Lithuania,2020-05-20,1562.0,559.0,1025.0,60.0,0.03841229193341869,,15.0,1.0
,2020-05-21,,,,,,,,
Lithuania,2020-05-22,1593.0,570.0,1049.0,61.0,0.03829252981795354,,,
Lithuania,2020-05-23,1604.0,574.0,1111.0,61.0,0.038029925187032416,,11.0,0.0
Lithuania,2020-05-24,1616.0,578.0,1135.0,63.0,0.038985148514851485,,12.0,2.0
Lithuania,2020-05-25,1623.0,581.0,1138.0,63.0,0.038817005545286505,,7.0,0.0
Lithuania,2020-05-26,1635.0,585.0,1138.0,63.0,0.03853211009174312,,12.0,0.0
Lithuania,2020-05-27,1639.0,587.0,1165.0,65.0,0.039658328248932284,,4.0,2.0
Lithuania,2020-05-28,1647.0,590.0,1184.0,66.0,0.04007285974499089,,8.0,1.0
Lithuania,2020-05-29,1656.0,593.0,1193.0,68.0,0.04106280193236715,,9.0,2.0
Lithuania,2020-05-30,1662.0,595.0,1216.0,68.0,0.040914560770156434,,6.0,0.0
Lithuania,2020-05-31,1670.0,598.0,1229.0,70.0,0.041916167664670656,,8.0,2.0
Lithuania,2020-06-01,1675.0,600.0,1236.0,70.0,0.041791044776119404,,5.0,0.0
Lithuania,2020-06-02,1678.0,601.0,1236.0,70.0,0.04171632896305125,,3.0,0.0
Lithuania,2020-06-03,1682.0,602.0,1249.0,71.0,0.0422,,4.0,1.0
Lithuania,2020-06-04,1684.0,603.0,1260.0,71.0,0.0422,,2.0,0.0
Lithuania,2020-06-05,1687.0,604.0,1273.0,71.0,0.0421,,3.0,0.0
Lithuania,2020-06-06,1694.0,606.0,1302.0,71.0,0.0419,,7.0,0.0
Lithuania,2020-06-07,1705.0,610.0,1321.0,71.0,0.0416,,11.0,0.0
Lithuania,2020-06-08,1714.0,614.0,1328.0,71.0,0.0414,,9.0,0.0
Lithuania,2020-06-09,1720.0,616.0,1331.0,71.0,0.0413,,6.0,0.0
Lithuania,2020-06-10,1727.0,618.0,1338.0,72.0,0.0417,,7.0,1.0
Lithuania,2020-06-12,1752.0,627.0,1372.0,74.0,0.0422,,25.0,2.0
Lithuania,2020-06-13,1756.0,629.0,1400.0,74.0,0.0421,,4.0,0.0
Lithuania,2020-06-14,1763.0,631.0,1416.0,75.0,0.0425,,7.0,1.0
Lithuania,2020-06-15,1768.0,633.0,1427.0,75.0,0.0424,,5.0,0.0
Lithuania,2020-06-16,1773.0,635.0,1429.0,76.0,0.0429,,5.0,1.0
Lithuania,2020-06-17,1776.0,636.0,1441.0,76.0,0.0428,,3.0,0.0
Lithuania,2020-06-18,1778.0,636.0,1447.0,76.0,0.0427,,2.0,0.0
Lithuania,2020-06-19,1784.0,639.0,1449.0,76.0,0.0426,,6.0,0.0
Lithuania,2020-06-20,1792.0,641.0,1462.0,76.0,0.0424,,8.0,0.0
Lithuania,2020-06-21,1795.0,643.0,1470.0,76.0,0.0423,,3.0,0.0
Lithuania,2020-06-22,1798.0,644.0,1475.0,76.0,0.0423,,3.0,0.0
Lithuania,2020-06-23,1798.0,644.0,1475.0,76.0,0.0423,,0.0,0.0
Lithuania,2020-06-24,1803.0,645.0,1483.0,77.0,0.0427,,5.0,1.0
Lithuania,2020-06-25,1804.0,646.0,1484.0,78.0,0.0432,,1.0,1.0
Lithuania,2020-06-26,1806.0,647.0,1494.0,78.0,0.0432,,2.0,0.0
Lithuania,2020-06-27,1808.0,647.0,1501.0,78.0,0.0431,,2.0,0.0
Lithuania,2020-06-28,1808.0,647.0,1501.0,78.0,0.0431,,0.0,0.0
Lithuania,2020-06-29,1815.0,650.0,1503.0,78.0,0.043,,7.0,0.0
Lithuania,2020-06-30,1816.0,650.0,1512.0,78.0,0.043,,1.0,0.0
Lithuania,2020-07-01,1817.0,650.0,1515.0,78.0,0.0429,,1.0,0.0
Lithuania,2020-07-02,1818.0,651.0,0.0,78.0,0.0429,,1.0,0.0
Lithuania,2020-07-03,1825.0,653.0,0.0,78.0,0.0427,,7.0,0.0
Lithuania,2020-07-04,1828.0,654.0,1539.0,79.0,0.0432,,3.0,1.0
Lithuania,2020-07-05,1831.0,655.0,1545.0,79.0,0.0431,,3.0,0.0
Lithuania,2020-07-06,1836.0,657.0,1545.0,79.0,0.043,,5.0,0.0
Lithuania,2020-07-07,1841.0,659.0,1547.0,79.0,0.0429,,5.0,0.0
Lithuania,2020-07-09,1854.0,664.0,1552.0,79.0,0.0426,,13.0,0.0
Lithuania,2020-07-10,1857.0,665.0,0.0,79.0,0.0425,,3.0,0.0
Lithuania,2020-07-11,1861.0,666.0,1569.0,79.0,0.0425,,4.0,0.0
Lithuania,2020-07-12,1861.0,666.0,1569.0,79.0,0.0425,,0.0,0.0
Lithuania,2020-07-13,1865.0,668.0,0.0,79.0,0.0424,,4.0,0.0
Lithuania,2020-07-14,1869.0,669.0,0.0,79.0,0.0423,,4.0,0.0
Lithuania,2020-07-15,1875.0,671.0,0.0,79.0,0.0421,,6.0,0.0
Lithuania,2020-07-16,1882.0,674.0,0.0,79.0,0.042,,7.0,0.0
Lithuania,2020-07-18,1908.0,683.0,1595.0,79.0,0.0414,,26.0,0.0
Lithuania,2020-07-19,1915.0,686.0,1600.0,80.0,0.0418,,7.0,1.0
Lithuania,2020-07-19,1932.0,692.0,0.0,80.0,0.0414,,17.0,0.0
Lithuania,2020-07-21,1947.0,697.0,0.0,80.0,0.0411,,15.0,0.0
Lithuania,2020-07-22,1949.0,698.0,1601.0,80.0,0.040999999999999995,,2.0,0.0
Lithuania,2020-07-23,1951.0,698.0,1607.0,80.0,0.040999999999999995,,2.0,0.0
Lithuania,2020-07-24,1960.0,702.0,1611.0,80.0,0.0408,,9.0,0.0
Lithuania,2020-07-25,1986.0,711.0,1616.0,80.0,0.0403,,26.0,0.0
Lithuania,2020-07-26,2001.0,716.0,1616.0,80.0,0.04,,15.0,0.0
Lithuania,2020-07-27,2008.0,719.0,1616.0,80.0,0.0398,,7.0,0.0
Lithuania,2020-07-28,2019.0,723.0,1620.0,80.0,0.0396,,11.0,0.0
Lithuania,2020-07-29,2027.0,726.0,1623.0,80.0,0.0395,,8.0,0.0
Lithuania,2020-07-30,2043.0,731.0,1643.0,80.0,0.0392,,16.0,0.0
Lithuania,2020-07-31,2062.0,738.0,1639.0,80.0,0.0388,,19.0,0.0
Lithuania,2020-08-01,2075.0,743.0,1644.0,80.0,0.0386,,13.0,0.0
Lithuania,2020-08-02,2093.0,749.0,1644.0,80.0,0.0382,,18.0,0.0
Lithuania,2020-08-03,2110.0,755.0,1644.0,80.0,0.0379,,17.0,0.0
Lithuania,2020-08-04,2120.0,759.0,1645.0,80.0,0.0377,,10.0,0.0
Lithuania,2020-08-05,2137.0,765.0,1647.0,80.0,0.0374,,17.0,0.0
