Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Ethiopia,2020-03-31,23.0,0.22,1.0,0.0,0.0,0.0,0.0
Ethiopia,2020-04-01,26.0,0.25,2.0,0.0,0.0,3.0,0.0
Ethiopia,2020-04-02,29.0,0.28,2.0,0.0,0.0,3.0,0.0
Ethiopia,2020-04-03,29.0,0.28,2.0,0.0,0.0,0.0,0.0
Ethiopia,2020-04-07,43.0,0.44,4.0,2.0,0.04651162790697674,14.0,2.0
Ethiopia,2020-04-10,56.0,0.57,4.0,2.0,0.03571428571428571,13.0,0.0
Ethiopia,2020-04-11,65.0,0.66,4.0,3.0,0.04615384615384616,9.0,1.0
Ethiopia,2020-04-12,69.0,0.7,10.0,3.0,0.043478260869565216,4.0,0.0
Ethiopia,2020-04-14,74.0,0.75,10.0,3.0,0.040540540540540536,5.0,0.0
Ethiopia,2020-04-17,92.0,0.93,15.0,3.0,0.03260869565217391,18.0,0.0
Ethiopia,2020-04-18,96.0,0.97,15.0,3.0,0.03125,4.0,0.0
Ethiopia,2020-04-20,108.0,1.09,16.0,3.0,0.027777777777777776,12.0,0.0
Ethiopia,2020-04-22,114.0,1.16,16.0,3.0,0.02631578947368421,6.0,0.0
Ethiopia,2020-04-23,116.0,1.18,21.0,3.0,0.02586206896551724,2.0,0.0
Ethiopia,2020-04-24,117.0,1.19,25.0,3.0,0.02564102564102564,1.0,0.0
Ethiopia,2020-04-25,117.0,1.19,25.0,3.0,0.02564102564102564,0.0,0.0
Ethiopia,2020-04-26,122.0,1.24,29.0,3.0,0.024590163934426233,5.0,0.0
Ethiopia,2020-04-27,123.0,1.25,41.0,3.0,0.024390243902439025,1.0,0.0
Ethiopia,2020-04-28,124.0,1.26,50.0,3.0,0.024193548387096774,1.0,0.0
Ethiopia,2020-04-29,126.0,1.28,50.0,3.0,0.023809523809523808,2.0,0.0
Ethiopia,2020-04-30,126.0,1.28,50.0,3.0,0.023809523809523808,0.0,0.0
Ethiopia,2020-05-01,131.0,1.0,59.0,3.0,0.022900763358778626,5.0,0.0
Ethiopia,2020-05-02,133.0,1.0,59.0,3.0,0.022556390977443608,2.0,0.0
Ethiopia,2020-05-03,133.0,1.0,69.0,3.0,0.022556390977443608,0.0,0.0
Ethiopia,2020-05-04,133.0,1.0,69.0,3.0,0.022556390977443608,0.0,0.0
Ethiopia,2020-05-05,140.0,1.0,75.0,3.0,0.021428571428571432,7.0,0.0
Ethiopia,2020-05-06,145.0,1.0,91.0,4.0,0.027586206896551724,5.0,1.0
Ethiopia,2020-05-07,162.0,2.0,93.0,4.0,0.02469135802469136,17.0,0.0
Ethiopia,2020-05-08,191.0,2.0,93.0,4.0,0.020942408376963352,29.0,0.0
Ethiopia,2020-05-09,194.0,2.0,95.0,4.0,0.020618556701030927,3.0,0.0
Ethiopia,2020-05-10,210.0,2.0,97.0,5.0,0.023809523809523808,16.0,1.0
Ethiopia,2020-05-11,241.0,2.0,99.0,5.0,0.020746887966804982,31.0,0.0
Ethiopia,2020-05-12,250.0,3.0,105.0,5.0,0.02,9.0,0.0
Ethiopia,2020-05-13,261.0,3.0,106.0,5.0,0.019157088122605363,11.0,0.0
Ethiopia,2020-05-15,272.0,3.0,108.0,5.0,0.018382352941176468,11.0,0.0
Ethiopia,2020-05-16,287.0,3.0,112.0,5.0,0.017421602787456445,15.0,0.0
Ethiopia,2020-05-17,287.0,3.0,112.0,5.0,0.017421602787456445,0.0,0.0
Ethiopia,2020-05-18,317.0,3.0,113.0,5.0,0.01577287066246057,30.0,0.0
Ethiopia,2020-05-19,352.0,4.0,116.0,5.0,0.014204545454545452,35.0,0.0
Ethiopia,2020-05-20,365.0,4.0,120.0,5.0,0.0136986301369863,13.0,0.0
,2020-05-21,,,,,,,
Ethiopia,2020-05-22,399.0,4.0,123.0,5.0,0.012531328320802004,,
Ethiopia,2020-05-23,433.0,4.0,128.0,5.0,0.011547344110854505,34.0,0.0
Ethiopia,2020-05-24,494.0,5.0,151.0,5.0,0.010121457489878544,61.0,0.0
Ethiopia,2020-05-25,582.0,6.0,152.0,5.0,0.00859106529209622,88.0,0.0
Ethiopia,2020-05-26,655.0,7.0,159.0,5.0,0.0076335877862595426,73.0,0.0
Ethiopia,2020-05-27,701.0,7.0,167.0,6.0,0.008559201141226819,46.0,1.0
Ethiopia,2020-05-28,731.0,7.0,181.0,6.0,0.008207934336525308,30.0,0.0
Ethiopia,2020-05-29,831.0,8.0,191.0,7.0,0.00842358604091456,100.0,1.0
Ethiopia,2020-05-30,968.0,10.0,197.0,8.0,0.008264462809917356,137.0,1.0
Ethiopia,2020-05-31,1063.0,11.0,208.0,8.0,0.007525870178739417,95.0,0.0
Ethiopia,2020-06-01,1172.0,12.0,209.0,11.0,0.00938566552901024,109.0,3.0
Ethiopia,2020-06-02,1257.0,13.0,217.0,12.0,0.00954653937947494,85.0,1.0
Ethiopia,2020-06-03,1344.0,14.0,231.0,14.0,0.0104,87.0,2.0
Ethiopia,2020-06-04,1486.0,15.0,246.0,17.0,0.0114,142.0,3.0
Ethiopia,2020-06-05,1636.0,17.0,250.0,18.0,0.011000000000000001,150.0,1.0
Ethiopia,2020-06-06,1805.0,18.0,262.0,19.0,0.0105,169.0,1.0
Ethiopia,2020-06-07,1934.0,20.0,281.0,20.0,0.0103,129.0,1.0
Ethiopia,2020-06-08,2020.0,20.0,344.0,27.0,0.0134,86.0,7.0
Ethiopia,2020-06-09,2156.0,22.0,361.0,27.0,0.0125,136.0,0.0
