Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Latvia,2020-03-31,376.0,200.32,1.0,0.0,0.0,0.0,0.0
Latvia,2020-04-01,398.0,212.04,1.0,0.0,0.0,22.0,0.0
Latvia,2020-04-02,446.0,237.62,1.0,0.0,0.0,48.0,0.0
Latvia,2020-04-03,458.0,244.01,1.0,0.0,0.0,12.0,0.0
Latvia,2020-04-07,542.0,284.25,1.0,1.0,0.0018450184501845016,84.0,1.0
Latvia,2020-04-10,589.0,308.89,16.0,2.0,0.003395585738539898,47.0,1.0
Latvia,2020-04-11,612.0,320.96,16.0,2.0,0.0032679738562091504,23.0,0.0
Latvia,2020-04-12,630.0,330.4,16.0,3.0,0.0047619047619047615,18.0,1.0
Latvia,2020-04-14,655.0,343.51,16.0,5.0,0.0076335877862595426,25.0,2.0
Latvia,2020-04-17,675.0,354.0,57.0,5.0,0.007407407407407408,20.0,0.0
Latvia,2020-04-18,712.0,373.4,88.0,5.0,0.007022471910112359,37.0,0.0
Latvia,2020-04-20,727.0,381.27,88.0,5.0,0.00687757909215956,15.0,0.0
Latvia,2020-04-22,748.0,392.28,133.0,9.0,0.012032085561497326,21.0,4.0
Latvia,2020-04-23,761.0,399.1,133.0,11.0,0.014454664914586069,13.0,2.0
Latvia,2020-04-24,778.0,408.01,133.0,11.0,0.014138817480719794,17.0,0.0
Latvia,2020-04-25,784.0,411.16,133.0,12.0,0.015306122448979591,6.0,1.0
Latvia,2020-04-26,804.0,421.65,267.0,12.0,0.01492537313432836,20.0,0.0
Latvia,2020-04-27,812.0,425.84,267.0,12.0,0.014778325123152709,8.0,0.0
Latvia,2020-04-28,818.0,428.99,267.0,13.0,0.01589242053789731,6.0,1.0
Latvia,2020-04-29,836.0,438.43,267.0,13.0,0.015550239234449759,18.0,0.0
Latvia,2020-04-30,836.0,438.43,267.0,13.0,0.015550239234449759,0.0,0.0
Latvia,2020-05-01,858.0,450.0,348.0,15.0,0.017482517482517484,22.0,2.0
Latvia,2020-05-02,870.0,456.0,348.0,16.0,0.01839080459770115,12.0,1.0
Latvia,2020-05-03,871.0,457.0,348.0,16.0,0.018369690011481057,1.0,0.0
Latvia,2020-05-04,871.0,457.0,348.0,16.0,0.018369690011481057,0.0,0.0
Latvia,2020-05-05,896.0,470.0,348.0,16.0,0.017857142857142856,25.0,0.0
Latvia,2020-05-06,896.0,470.0,348.0,17.0,0.018973214285714284,0.0,1.0
Latvia,2020-05-07,900.0,472.0,348.0,17.0,0.01888888888888889,4.0,0.0
Latvia,2020-05-08,909.0,477.0,464.0,18.0,0.0198019801980198,9.0,1.0
Latvia,2020-05-09,928.0,487.0,464.0,18.0,0.01939655172413793,19.0,0.0
Latvia,2020-05-10,930.0,488.0,464.0,18.0,0.01935483870967742,2.0,0.0
Latvia,2020-05-11,939.0,492.0,464.0,18.0,0.019169329073482427,9.0,0.0
Latvia,2020-05-12,946.0,496.0,464.0,18.0,0.019027484143763214,7.0,0.0
Latvia,2020-05-13,951.0,499.0,464.0,19.0,0.019978969505783387,5.0,1.0
Latvia,2020-05-15,962.0,505.0,627.0,19.0,0.01975051975051975,11.0,0.0
Latvia,2020-05-16,970.0,509.0,662.0,19.0,0.01958762886597938,8.0,0.0
Latvia,2020-05-17,997.0,523.0,662.0,19.0,0.01905717151454363,27.0,0.0
