Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Haiti,2020-03-31,8.0,0.74,0.0,0.0,0.0,0.0,0.0
Haiti,2020-04-01,15.0,1.39,0.0,0.0,0.0,7.0,0.0
Haiti,2020-04-02,15.0,1.39,0.0,0.0,0.0,0.0,0.0
Haiti,2020-04-03,15.0,1.39,0.0,0.0,0.0,0.0,0.0
Haiti,2020-04-07,24.0,2.07,0.0,1.0,0.04166666666666666,9.0,1.0
Haiti,2020-04-10,30.0,2.59,0.0,2.0,0.06666666666666668,6.0,1.0
Haiti,2020-04-11,31.0,2.68,0.0,2.0,0.06451612903225806,1.0,0.0
Haiti,2020-04-12,31.0,2.68,0.0,2.0,0.06451612903225806,0.0,0.0
Haiti,2020-04-14,40.0,3.45,0.0,3.0,0.075,9.0,1.0
Haiti,2020-04-17,41.0,3.54,0.0,3.0,0.07317073170731707,1.0,0.0
Haiti,2020-04-18,43.0,3.71,0.0,3.0,0.06976744186046513,2.0,0.0
Haiti,2020-04-20,47.0,4.06,0.0,3.0,0.06382978723404255,4.0,0.0
Haiti,2020-04-22,57.0,4.92,0.0,3.0,0.05263157894736842,10.0,0.0
Haiti,2020-04-23,62.0,5.36,2.0,4.0,0.06451612903225806,5.0,1.0
Haiti,2020-04-24,72.0,6.22,2.0,5.0,0.06944444444444445,10.0,1.0
Haiti,2020-04-25,72.0,6.22,2.0,5.0,0.06944444444444445,0.0,0.0
Haiti,2020-04-26,72.0,6.22,2.0,5.0,0.06944444444444445,0.0,0.0
Haiti,2020-04-27,74.0,6.39,7.0,6.0,0.08108108108108109,2.0,1.0
Haiti,2020-04-28,74.0,6.39,7.0,6.0,0.08108108108108109,0.0,0.0
Haiti,2020-04-29,76.0,6.56,8.0,6.0,0.07894736842105263,2.0,0.0
Haiti,2020-04-30,76.0,6.56,8.0,6.0,0.07894736842105263,0.0,0.0
Haiti,2020-05-01,81.0,7.0,8.0,8.0,0.09876543209876544,5.0,2.0
Haiti,2020-05-02,81.0,7.0,8.0,8.0,0.09876543209876544,0.0,0.0
Haiti,2020-05-03,85.0,7.0,10.0,8.0,0.09411764705882353,4.0,0.0
Haiti,2020-05-04,85.0,7.0,10.0,8.0,0.09411764705882353,0.0,0.0
Haiti,2020-05-05,100.0,9.0,10.0,11.0,0.11,15.0,3.0
Haiti,2020-05-06,101.0,9.0,10.0,12.0,0.1188118811881188,1.0,1.0
Haiti,2020-05-07,101.0,9.0,10.0,12.0,0.1188118811881188,0.0,0.0
Haiti,2020-05-08,108.0,9.0,15.0,12.0,0.1111111111111111,7.0,0.0
Haiti,2020-05-09,146.0,13.0,17.0,12.0,0.0821917808219178,38.0,0.0
Haiti,2020-05-10,151.0,13.0,17.0,12.0,0.07947019867549669,5.0,0.0
Haiti,2020-05-11,182.0,16.0,17.0,15.0,0.08241758241758243,31.0,3.0
Haiti,2020-05-12,182.0,16.0,17.0,15.0,0.08241758241758243,0.0,0.0
Haiti,2020-05-13,219.0,19.0,17.0,18.0,0.0821917808219178,37.0,3.0
Haiti,2020-05-15,234.0,20.0,17.0,18.0,0.07692307692307693,15.0,0.0
Haiti,2020-05-16,273.0,24.0,18.0,20.0,0.07326007326007326,39.0,2.0
Haiti,2020-05-17,310.0,27.0,19.0,20.0,0.06451612903225806,37.0,0.0
Haiti,2020-05-18,456.0,39.0,21.0,20.0,0.04385964912280702,146.0,0.0
Haiti,2020-05-19,533.0,46.0,21.0,21.0,0.039399624765478425,77.0,1.0
Haiti,2020-05-20,533.0,46.0,21.0,21.0,0.039399624765478425,0.0,0.0
,2020-05-21,,,,,,,
Haiti,2020-05-22,663.0,57.0,21.0,22.0,0.033182503770739065,,
Haiti,2020-05-23,734.0,63.0,21.0,25.0,0.0340599455040872,71.0,3.0
Haiti,2020-05-24,812.0,70.0,22.0,25.0,0.030788177339901482,78.0,0.0
Haiti,2020-05-25,865.0,75.0,22.0,26.0,0.030057803468208088,53.0,1.0
Haiti,2020-05-26,958.0,83.0,22.0,27.0,0.028183716075156576,93.0,1.0
Haiti,2020-05-27,1063.0,92.0,22.0,31.0,0.02916274694261524,105.0,4.0
Haiti,2020-05-28,1174.0,101.0,22.0,33.0,0.028109028960817718,111.0,2.0
Haiti,2020-05-29,1320.0,114.0,22.0,34.0,0.02575757575757576,146.0,1.0
Haiti,2020-05-30,1443.0,125.0,22.0,35.0,0.024255024255024252,123.0,1.0
Haiti,2020-05-31,1584.0,137.0,22.0,35.0,0.0220959595959596,141.0,0.0
Haiti,2020-06-01,1865.0,161.0,24.0,41.0,0.02198391420911528,281.0,6.0
Haiti,2020-06-02,2124.0,183.0,24.0,44.0,0.020715630885122408,259.0,3.0
Haiti,2020-06-03,2507.0,217.0,24.0,48.0,0.0191,383.0,4.0
Haiti,2020-06-04,2640.0,228.0,24.0,50.0,0.0189,133.0,2.0
Haiti,2020-06-05,2640.0,228.0,24.0,50.0,0.0189,0.0,0.0
Haiti,2020-06-06,2740.0,237.0,24.0,50.0,0.0182,100.0,0.0
Haiti,2020-06-07,3072.0,265.0,24.0,50.0,0.0163,332.0,0.0
Haiti,2020-06-08,3072.0,265.0,24.0,50.0,0.0163,0.0,0.0
Haiti,2020-06-09,3538.0,306.0,24.0,54.0,0.0153,466.0,4.0
Haiti,2020-06-10,3538.0,306.0,24.0,54.0,0.0153,0.0,0.0
Haiti,2020-06-12,3796.0,328.0,24.0,58.0,0.0153,258.0,4.0
Haiti,2020-06-13,3941.0,340.0,24.0,64.0,0.0162,145.0,6.0
Haiti,2020-06-14,3941.0,340.0,24.0,64.0,0.0162,0.0,0.0
Haiti,2020-06-15,4165.0,360.0,24.0,70.0,0.0168,224.0,6.0
Haiti,2020-06-16,4309.0,372.0,24.0,73.0,0.0169,144.0,3.0
Haiti,2020-06-17,4441.0,384.0,24.0,76.0,0.0171,132.0,3.0
Haiti,2020-06-18,4547.0,393.0,24.0,80.0,0.0176,106.0,4.0
Haiti,2020-06-19,4688.0,405.0,24.0,82.0,0.0175,141.0,2.0
Haiti,2020-06-20,4916.0,425.0,24.0,84.0,0.0171,228.0,2.0
Haiti,2020-06-21,4980.0,430.0,24.0,87.0,0.0175,64.0,3.0
Haiti,2020-06-22,5077.0,439.0,24.0,88.0,0.0173,97.0,1.0
Haiti,2020-06-23,5077.0,439.0,24.0,88.0,0.0173,0.0,0.0
Haiti,2020-06-24,5211.0,450.0,338.0,88.0,0.0169,134.0,0.0
Haiti,2020-06-25,5324.0,460.0,436.0,89.0,0.0167,113.0,1.0
Haiti,2020-06-26,5429.0,469.0,512.0,92.0,0.0169,105.0,3.0
Haiti,2020-06-27,5543.0,479.0,512.0,96.0,0.0173,114.0,4.0
Haiti,2020-06-28,5543.0,479.0,512.0,96.0,0.0173,0.0,0.0
Haiti,2020-06-29,5777.0,499.0,706.0,100.0,0.0173,234.0,4.0
Haiti,2020-06-30,5847.0,505.0,787.0,104.0,0.0178,70.0,4.0
Haiti,2020-07-01,5933.0,512.0,839.0,105.0,0.0177,86.0,1.0
Haiti,2020-07-02,5975.0,516.0,931.0,105.0,0.0176,42.0,0.0
Haiti,2020-07-03,6040.0,522.0,1032.0,107.0,0.0177,65.0,2.0
Haiti,2020-07-04,6101.0,527.0,1141.0,110.0,0.018000000000000002,61.0,3.0
Haiti,2020-07-05,6230.0,538.0,1286.0,110.0,0.0177,129.0,0.0
Haiti,2020-07-06,6294.0,544.0,1408.0,113.0,0.018000000000000002,64.0,3.0
Haiti,2020-07-07,6371.0,550.0,1824.0,113.0,0.0177,77.0,0.0
Haiti,2020-07-09,6432.0,556.0,2080.0,117.0,0.0182,61.0,4.0
