Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Bhutan,2020-03-31,4.0,7.31,0.0,0.0,0.0,0.0,0.0
Bhutan,2020-04-01,4.0,7.31,0.0,0.0,0.0,0.0,0.0
Bhutan,2020-04-02,4.0,7.31,0.0,0.0,0.0,0.0,0.0
Bhutan,2020-04-03,5.0,9.14,0.0,0.0,0.0,1.0,0.0
Bhutan,2020-04-07,5.0,6.74,2.0,0.0,0.0,0.0,0.0
Bhutan,2020-04-10,5.0,6.74,2.0,0.0,0.0,0.0,0.0
Bhutan,2020-04-11,5.0,6.74,2.0,0.0,0.0,0.0,0.0
Bhutan,2020-04-12,5.0,6.74,2.0,0.0,0.0,0.0,0.0
Bhutan,2020-04-14,5.0,6.74,2.0,0.0,0.0,0.0,0.0
Bhutan,2020-04-17,5.0,6.74,2.0,0.0,0.0,0.0,0.0
Bhutan,2020-04-18,5.0,6.74,2.0,0.0,0.0,0.0,0.0
Bhutan,2020-04-20,5.0,6.74,2.0,0.0,0.0,0.0,0.0
Bhutan,2020-04-22,6.0,8.09,2.0,0.0,0.0,1.0,0.0
Bhutan,2020-04-23,6.0,8.09,2.0,0.0,0.0,0.0,0.0
Bhutan,2020-04-24,7.0,9.44,3.0,0.0,0.0,1.0,0.0
Bhutan,2020-04-25,7.0,9.44,3.0,0.0,0.0,0.0,0.0
Bhutan,2020-04-26,7.0,9.44,3.0,0.0,0.0,0.0,0.0
Bhutan,2020-04-27,7.0,9.44,3.0,0.0,0.0,0.0,0.0
Bhutan,2020-04-28,7.0,9.44,3.0,0.0,0.0,0.0,0.0
Bhutan,2020-04-29,7.0,9.44,5.0,0.0,0.0,0.0,0.0
Bhutan,2020-04-30,7.0,9.44,5.0,0.0,0.0,0.0,0.0
Bhutan,2020-05-01,7.0,9.0,5.0,0.0,0.0,0.0,0.0
Bhutan,2020-05-02,7.0,9.0,5.0,0.0,0.0,0.0,0.0
Bhutan,2020-05-03,7.0,9.0,5.0,0.0,0.0,0.0,0.0
Bhutan,2020-05-04,7.0,9.0,5.0,0.0,0.0,0.0,0.0
Bhutan,2020-05-05,7.0,9.0,5.0,0.0,0.0,0.0,0.0
Bhutan,2020-05-06,7.0,9.0,5.0,0.0,0.0,0.0,0.0
Bhutan,2020-05-07,7.0,9.0,5.0,0.0,0.0,0.0,0.0
Bhutan,2020-05-08,7.0,9.0,5.0,0.0,0.0,0.0,0.0
Bhutan,2020-05-09,7.0,9.0,5.0,0.0,0.0,0.0,0.0
Bhutan,2020-05-10,7.0,9.0,5.0,0.0,0.0,0.0,0.0
Bhutan,2020-05-11,9.0,12.0,5.0,0.0,0.0,2.0,0.0
Bhutan,2020-05-12,11.0,15.0,5.0,0.0,0.0,2.0,0.0
Bhutan,2020-05-13,11.0,15.0,5.0,0.0,0.0,0.0,0.0
Bhutan,2020-05-15,19.0,26.0,5.0,0.0,0.0,8.0,0.0
Bhutan,2020-05-16,21.0,28.0,5.0,0.0,0.0,2.0,0.0
Bhutan,2020-05-17,21.0,28.0,5.0,0.0,0.0,0.0,0.0
Bhutan,2020-05-18,21.0,28.0,5.0,0.0,0.0,0.0,0.0
