Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Turkey,2020-03-31,10827,129.35,162,168,0.015516763999999999,0,0
Turkey,2020-04-01,13531,161.65,243,214,0.015815534698100656,2704,46
Turkey,2020-04-02,15679,187.31,333,277,0.017666943044837045,2148,63
Turkey,2020-04-03,18135,216.65,415,356,0.019630548662806727,2456,79
Turkey,2020-04-07,30217,363.38,1326,649,0.021477975973789587,12082,293
Turkey,2020-04-10,42282,508.47,2142,908,0.02147485927817984,12065,259
Turkey,2020-04-11,47029,565.56,2423,1006,0.021391056582108908,4747,98
Turkey,2020-04-12,52167,627.35,2965,1101,0.02110529645177986,5138,95
Turkey,2020-04-14,61049,734.16,3957,1296,0.02122884895739488,8882,195
Turkey,2020-04-17,74193,892.23,7089,1643,0.022144946288733442,13144,347
Turkey,2020-04-18,78546,944.57,8631,1769,0.022521834339113384,4353,126
Turkey,2020-04-20,86306,1037.89,11976,2017,0.02337033346464904,7760,248
Turkey,2020-04-22,95591,1149.55,14918,2259,0.02363193187643188,9285,242
Turkey,2020-04-23,98674,1186.63,16477,2376,0.02407929140401727,3083,117
Turkey,2020-04-24,101790,1224.1,18491,2491,0.024471952058158955,3116,115
Turkey,2020-04-25,104912,1261.64,21737,2600,0.024782675003812718,3122,109
Turkey,2020-04-26,107773,1296.05,25582,2706,0.02510832954450558,2861,106
Turkey,2020-04-27,110130,1324.39,29140,2805,0.02546989921002452,2357,99
Turkey,2020-04-28,112261,1350.02,33791,2900,0.025832657824177586,2131,95
Turkey,2020-04-29,114653,1378.79,38809,2992,0.026096133550801117,2392,92
Turkey,2020-04-30,114653,1378.79,38809,2992,0.026096133550801117,0,0
Turkey,2020-05-01,120204,1446.0,48886,3174,0.026405111310771688,5551,182
Turkey,2020-05-02,122392,1472.0,53808,3258,0.026619386888031896,2188,84
Turkey,2020-05-03,124375,1496.0,58259,3336,0.026822110552763817,1983,78
Turkey,2020-05-04,124375,1496.0,58259,3336,0.026822110552763817,0,0
Turkey,2020-05-05,127659,1535.0,68166,3461,0.02711128866746567,3284,125
Turkey,2020-05-06,129491,1557.0,73285,3520,0.027183356372257533,1832,59
Turkey,2020-05-07,131744,1584.0,78202,3584,0.027204274957493318,2253,64
Turkey,2020-05-08,133721,1608.0,82984,3641,0.02722833361999985,1977,57
Turkey,2020-05-09,135569,1630.0,86396,3689,0.02721123560696029,1848,48
Turkey,2020-05-10,137115,1649.0,89480,3739,0.027269080698683588,1546,50
Turkey,2020-05-11,138657,1667.0,92691,3786,0.027304788074168636,1542,47
Turkey,2020-05-12,139771,1681.0,95780,3841,0.02748066480171137,1114,55
Turkey,2020-05-13,141475,1701.0,98889,3894,0.027524297579077574,1704,53
Turkey,2020-05-15,144749,1741.0,104030,4007,0.02768240195096339,3274,113
Turkey,2020-05-16,146457,1761.0,106133,4055,0.02768730753736592,1708,48
Turkey,2020-05-17,148067,1781.0,108137,4096,0.02766315249177737,1610,41
Turkey,2020-05-18,149435,1797.0,109962,4140,0.027704353063204738,1368,44
Turkey,2020-05-19,150593,1811.0,111577,4171,0.02769717051921404,1158,31
Turkey,2020-05-20,151615,1823.0,112895,4199,0.02769514889687696,1022,28
Turkey,2020-05-21,152587,1835.0,113987,4222,0.02766946070110822,972,23
Turkey,2020-05-22,153548,1847.0,114990,4249,0.027672128585198116,961,27
Turkey,2020-05-23,154500,1858.0,116111,4276,0.027676375404530745,952,27
Turkey,2020-05-24,155686,1872.0,117602,4308,0.027671081535912027,1186,32
Turkey,2020-05-25,156827,1886.0,118694,4340,0.027673806168580662,1141,32
Turkey,2020-05-26,157814,1898.0,120015,4369,0.02768448933554691,987,29
Turkey,2020-05-27,158762,1909.0,121507,4397,0.027695544273818668,948,28
Turkey,2020-05-28,159797,1922.0,122793,4431,0.02772893108130941,1035,34
Turkey,2020-05-29,160979,1936.0,124369,4461,0.02771168910230527,1182,30
Turkey,2020-05-30,162120,1950.0,125963,4489,0.02768936590180113,1141,28
Turkey,2020-05-31,163103,1961.0,126984,4515,0.02768189426313434,983,26
Turkey,2020-06-01,163942,1972.0,127973,4540,0.02769272059630845,839,25
Turkey,2020-06-02,164769,1981.0,128947,4563,0.02769331609708137,827,23
Turkey,2020-06-03,165555,1991.0,129921,4585,0.0277,786,22
Turkey,2020-06-04,166422,2001.0,130852,4609,0.0277,867,24
Turkey,2020-06-05,167410,2013.0,131778,4630,0.0277,988,21
Turkey,2020-06-06,168340,2024.0,133400,4648,0.0276,930,18
Turkey,2020-06-07,169218,2035.0,135322,4669,0.0276,878,21
Turkey,2020-06-08,170132,2046.0,137969,4692,0.0276,914,23
Turkey,2020-06-09,171121,2058.0,141380,4711,0.0275,989,19
Turkey,2020-06-10,172114,2070.0,144598,4729,0.0275,993,18
Turkey,2020-06-12,174023,2093.0,147860,4763,0.0274,1909,34
Turkey,2020-06-13,175218,2107.0,149102,4778,0.0273,1195,15
Turkey,2020-06-14,176677,2125.0,150087,4792,0.0271,1459,14
Turkey,2020-06-15,176677,2125.0,150087,4792,0.0271,0,0
Turkey,2020-06-16,179831,2163.0,152364,4825,0.0268,3154,33
Turkey,2020-06-17,181298,2180.0,153379,4842,0.0267,1467,17
Turkey,2020-06-18,182727,2197.0,154640,4861,0.0266,1429,19
Turkey,2020-06-19,184031,2213.0,156022,4882,0.0265,1304,21
Turkey,2020-06-20,185245,2228.0,157516,4905,0.0265,1214,23
Turkey,2020-06-21,186493,2243.0,158828,4927,0.0264,1248,22
Turkey,2020-06-22,187685,2257.0,160240,4950,0.0264,1192,23
Turkey,2020-06-23,188897,2272.0,161533,4974,0.0263,1212,24
Turkey,2020-06-24,190165,2287.0,162848,5001,0.0263,1268,27
Turkey,2020-06-25,191657,2305.0,164234,5025,0.0262,1492,24
Turkey,2020-06-26,193115,2322.0,165706,5046,0.0261,1458,21
Turkey,2020-06-27,194511,2339.0,167198,5065,0.026000000000000002,1396,19
Turkey,2020-06-28,195883,2356.0,169182,5082,0.0259,1372,17
Turkey,2020-06-29,197239,2372.0,170595,5097,0.0258,1356,15
Turkey,2020-06-30,198613,2388.0,171809,5115,0.0258,1374,18
Turkey,2020-07-01,199906,2404.0,173111,5131,0.0257,1293,16
Turkey,2020-07-02,199906,2404.0,173111,5131,0.0257,0,0
Turkey,2020-07-03,202284,2433.0,0,5167,0.0255,2378,36
Turkey,2020-07-04,203456,2447.0,178278,5186,0.0255,1172,19
Turkey,2020-07-05,204610,2461.0,179492,5206,0.0254,1154,20
Turkey,2020-07-06,205758,2474.0,180680,5225,0.0254,1148,19
Turkey,2020-07-07,206844,2487.0,182995,5241,0.0253,1086,16
Turkey,2020-07-09,208938,2513.0,187511,5282,0.0253,2094,41
Turkey,2020-07-10,209962,2525.0,0,5300,0.0252,1024,18
Turkey,2020-07-11,210965,2537.0,191883,5323,0.0252,1003,23
Turkey,2020-07-12,211981,2549.0,0,5344,0.0252,1016,21
Turkey,2020-07-13,211981,2549.0,0,5344,0.0252,0,0
Turkey,2020-07-14,214001,2574.0,195671,5382,0.0251,2020,38
Turkey,2020-07-15,214993,2585.0,196720,5402,0.0251,992,20
Turkey,2020-07-16,215940,2597.0,0,5419,0.0251,947,17
Turkey,2020-07-18,217799,2619.0,199834,5458,0.0251,1859,39
Turkey,2020-07-19,218717,2630.0,201013,5475,0.025,918,17
Turkey,2020-07-19,218717,2630.0,201013,5475,0.025,0,0
Turkey,2020-07-21,220572,2653.0,203002,5508,0.025,1855,33
Turkey,2020-07-22,221500,2664.0,204011,5526,0.0249,928,18
Turkey,2020-07-23,222402,2675.0,205214,5545,0.0249,902,19
Turkey,2020-07-24,223315,2686.0,0,5563,0.0249,913,18
Turkey,2020-07-25,224252,2697.0,207374,5580,0.0249,937,17
Turkey,2020-07-26,225173,2708.0,208477,5596,0.0249,921,16
Turkey,2020-07-27,226100,2719.0,209487,5613,0.0248,927,17
Turkey,2020-07-28,227019,2730.0,210469,5630,0.0248,919,17
Turkey,2020-07-29,227982,2742.0,211561,5645,0.0248,963,15
Turkey,2020-07-30,228924,2753.0,212557,5659,0.0247,942,14
Turkey,2020-07-31,229891,2765.0,213539,5674,0.0247,967,15
Turkey,2020-08-01,230873,2776.0,214535,5691,0.0246,982,17
Turkey,2020-08-02,231869,2788.0,215516,5710,0.0246,996,19
Turkey,2020-08-03,232856,2800.0,216494,5728,0.0246,987,18
Turkey,2020-08-04,233851,2812.0,217497,5747,0.0246,995,19
Turkey,2020-08-05,234934,2825.0,0,5765,0.0245,1083,18
Turkey,2020-08-06,236112,2839.0,219506,5784,0.0245,1178,19
Turkey,2020-08-07,236112,2839.0,219506,5784,0.0245,0,0
Turkey,2020-08-08,238450,2868.0,221574,5813,0.0244,2338,29
Turkey,2020-08-09,239622,2882.0,222656,5829,0.0243,1172,16
Turkey,2020-08-10,240804,2896.0,223759,5844,0.0243,1182,15
Turkey,2020-08-11,241997,2910.0,224970,5858,0.0242,1193,14
Turkey,2020-08-12,243180,2924.0,226155,5873,0.0242,1183,15
Turkey,2020-08-13,243180,2924.0,226155,5873,0.0242,0,0
Turkey,2020-08-14,244392,2939.0,227089,5891,0.0241,1212,18
Turkey,2020-08-15,246861,2969.0,228980,5934,0.024,2469,43
Turkey,2020-08-16,248117,2984.0,229972,5955,0.024,1256,21
Turkey,2020-08-17,249309,2998.0,230969,5974,0.024,1192,19
Turkey,2020-08-18,249309,2998.0,230969,5974,0.024,0,0
Turkey,2020-08-19,251805,3028.0,232913,6016,0.0239,2496,42
Turkey,2020-08-20,253108,3044.0,233915,6039,0.0239,1303,23
Turkey,2020-08-22,255723,3075.0,235569,6080,0.0238,2615,41
Turkey,2020-08-23,257032,3091.0,236370,6102,0.0237,1309,22
Turkey,2020-08-24,258249,3106.0,237165,6121,0.0237,1217,19
Turkey,2020-08-25,259692,3123.0,237908,6139,0.0236,1443,18
