Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Honduras,2020-03-31,141.0,15.36,3.0,7.0,0.04964539,0.0,0.0
Honduras,2020-04-01,141.0,15.36,3.0,7.0,0.04964539007092199,0.0,0.0
Honduras,2020-04-02,172.0,18.74,3.0,10.0,0.05813953488372092,31.0,3.0
Honduras,2020-04-03,219.0,23.86,3.0,14.0,0.0639269406392694,47.0,4.0
Honduras,2020-04-07,298.0,32.54,6.0,22.0,0.0738255033557047,79.0,8.0
Honduras,2020-04-10,382.0,41.71,7.0,23.0,0.060209424083769635,84.0,1.0
Honduras,2020-04-11,392.0,42.8,7.0,24.0,0.061224489795918366,10.0,1.0
Honduras,2020-04-12,392.0,42.8,7.0,24.0,0.061224489795918366,0.0,0.0
Honduras,2020-04-14,397.0,43.35,7.0,25.0,0.06297229219143577,5.0,1.0
Honduras,2020-04-17,426.0,46.51,7.0,35.0,0.08215962441314555,29.0,10.0
Honduras,2020-04-18,457.0,49.9,10.0,46.0,0.10065645514223197,31.0,11.0
Honduras,2020-04-20,477.0,52.08,25.0,46.0,0.09643605870020963,20.0,0.0
Honduras,2020-04-22,494.0,53.94,10.0,46.0,0.0931174089068826,17.0,0.0
Honduras,2020-04-23,510.0,55.69,30.0,46.0,0.09019607843137256,16.0,0.0
Honduras,2020-04-24,562.0,61.36,50.0,47.0,0.08362989323843416,52.0,1.0
Honduras,2020-04-25,562.0,61.36,50.0,47.0,0.08362989323843416,0.0,0.0
Honduras,2020-04-26,591.0,64.53,58.0,55.0,0.09306260575296108,29.0,8.0
Honduras,2020-04-27,627.0,68.46,65.0,59.0,0.09409888357256778,36.0,4.0
Honduras,2020-04-28,661.0,72.17,79.0,61.0,0.09228441754916793,34.0,2.0
Honduras,2020-04-29,738.0,80.58,73.0,66.0,0.08943089430894309,77.0,5.0
Honduras,2020-04-30,738.0,80.58,73.0,66.0,0.08943089430894309,0.0,0.0
Honduras,2020-05-01,771.0,84.0,79.0,71.0,0.09208819714656293,33.0,5.0
Honduras,2020-05-02,804.0,88.0,112.0,75.0,0.09328358208955224,33.0,4.0
Honduras,2020-05-03,899.0,98.0,112.0,75.0,0.08342602892102335,95.0,0.0
Honduras,2020-05-04,1010.0,110.0,116.0,76.0,0.07524752475247523,111.0,1.0
Honduras,2020-05-05,1055.0,115.0,118.0,82.0,0.07772511848341232,45.0,6.0
Honduras,2020-05-06,1178.0,129.0,122.0,83.0,0.07045840407470289,123.0,1.0
Honduras,2020-05-07,1270.0,139.0,122.0,93.0,0.07322834645669292,92.0,10.0
Honduras,2020-05-08,1461.0,160.0,132.0,99.0,0.06776180698151951,191.0,6.0
Honduras,2020-05-09,1685.0,184.0,154.0,105.0,0.062314540059347175,224.0,6.0
Honduras,2020-05-10,1830.0,200.0,195.0,108.0,0.05901639344262295,145.0,3.0
Honduras,2020-05-11,1830.0,200.0,195.0,108.0,0.05901639344262295,0.0,0.0
Honduras,2020-05-12,1972.0,215.0,203.0,108.0,0.05476673427991886,142.0,0.0
Honduras,2020-05-13,2006.0,219.0,206.0,116.0,0.05782652043868395,34.0,8.0
Honduras,2020-05-15,2255.0,246.0,237.0,123.0,0.054545454545454536,249.0,7.0
Honduras,2020-05-16,2318.0,253.0,253.0,133.0,0.05737704918032788,63.0,10.0
Honduras,2020-05-17,2460.0,269.0,264.0,134.0,0.054471544715447164,142.0,1.0
Honduras,2020-05-18,2565.0,280.0,278.0,138.0,0.053801169590643266,105.0,4.0
Honduras,2020-05-19,2646.0,289.0,319.0,142.0,0.05366591080876795,81.0,4.0
Honduras,2020-05-20,2798.0,306.0,340.0,146.0,0.05218012866333095,152.0,4.0
,2020-05-21,,,,,,,
Honduras,2020-05-22,3204.0,350.0,397.0,156.0,0.048689138576779034,,
Honduras,2020-05-23,3204.0,350.0,397.0,156.0,0.048689138576779034,0.0,0.0
Honduras,2020-05-24,3743.0,409.0,455.0,174.0,0.04648677531391932,539.0,18.0
Honduras,2020-05-25,3743.0,409.0,455.0,174.0,0.04648677531391932,0.0,0.0
Honduras,2020-05-26,3950.0,431.0,468.0,180.0,0.045569620253164564,207.0,6.0
Honduras,2020-05-27,4189.0,457.0,473.0,182.0,0.043447123418476966,239.0,2.0
Honduras,2020-05-28,4401.0,481.0,493.0,188.0,0.042717564189956835,212.0,6.0
Honduras,2020-05-29,4640.0,507.0,506.0,194.0,0.041810344827586214,239.0,6.0
Honduras,2020-05-30,4752.0,519.0,519.0,196.0,0.04124579124579125,112.0,2.0
Honduras,2020-05-31,4886.0,534.0,528.0,199.0,0.04072861236185018,134.0,3.0
Honduras,2020-06-01,5094.0,556.0,536.0,201.0,0.03945818610129565,208.0,2.0
Honduras,2020-06-02,5202.0,568.0,537.0,212.0,0.04075355632449058,108.0,11.0
Honduras,2020-06-03,5527.0,603.0,563.0,225.0,0.0407,325.0,13.0
Honduras,2020-06-04,5690.0,621.0,617.0,234.0,0.0411,163.0,9.0
Honduras,2020-06-05,5690.0,621.0,617.0,234.0,0.0411,0.0,0.0
Honduras,2020-06-06,5880.0,642.0,648.0,243.0,0.0413,190.0,9.0
Honduras,2020-06-07,5971.0,652.0,677.0,248.0,0.0415,91.0,5.0
Honduras,2020-06-08,6155.0,672.0,697.0,250.0,0.0406,184.0,2.0
Honduras,2020-06-09,6450.0,704.0,740.0,262.0,0.0406,295.0,12.0
Honduras,2020-06-10,6450.0,704.0,740.0,262.0,0.0406,0.0,0.0
Honduras,2020-06-12,7360.0,804.0,809.0,290.0,0.0394,910.0,28.0
Honduras,2020-06-13,7669.0,837.0,837.0,294.0,0.0383,309.0,4.0
Honduras,2020-06-14,8132.0,888.0,844.0,306.0,0.0376,463.0,12.0
Honduras,2020-06-15,8455.0,923.0,894.0,310.0,0.0367,323.0,4.0
Honduras,2020-06-16,8858.0,967.0,967.0,312.0,0.0352,403.0,2.0
Honduras,2020-06-17,9178.0,1002.0,1025.0,322.0,0.0351,320.0,10.0
Honduras,2020-06-18,10299.0,1125.0,1116.0,336.0,0.0326,1121.0,14.0
Honduras,2020-06-19,10299.0,1125.0,1116.0,336.0,0.0326,0.0,0.0
Honduras,2020-06-20,10739.0,1173.0,1179.0,343.0,0.0319,440.0,7.0
Honduras,2020-06-21,11258.0,1229.0,1214.0,349.0,0.031,519.0,6.0
Honduras,2020-06-22,12250.0,1338.0,1275.0,358.0,0.0292,992.0,9.0
Honduras,2020-06-23,12769.0,1394.0,1293.0,363.0,0.0284,519.0,5.0
Honduras,2020-06-24,13356.0,1458.0,1362.0,395.0,0.0296,587.0,32.0
Honduras,2020-06-25,13943.0,1522.0,1461.0,405.0,0.028999999999999998,587.0,10.0
Honduras,2020-06-26,14571.0,1591.0,1546.0,417.0,0.0286,628.0,12.0
Honduras,2020-06-27,15366.0,1678.0,1600.0,426.0,0.0277,795.0,9.0
Honduras,2020-06-28,15994.0,1746.0,1678.0,471.0,0.0294,628.0,45.0
Honduras,2020-06-29,17007.0,1857.0,1767.0,479.0,0.0282,1013.0,8.0
Honduras,2020-06-30,18082.0,1974.0,1875.0,479.0,0.0265,1075.0,0.0
Honduras,2020-07-01,18818.0,2055.0,1961.0,485.0,0.0258,736.0,6.0
Honduras,2020-07-02,19558.0,2136.0,2060.0,497.0,0.0254,740.0,12.0
Honduras,2020-07-03,20262.0,2212.0,2123.0,542.0,0.0267,704.0,45.0
Honduras,2020-07-04,22116.0,2415.0,2250.0,605.0,0.0274,1854.0,63.0
Honduras,2020-07-05,22116.0,2415.0,2250.0,605.0,0.0274,0.0,0.0
Honduras,2020-07-06,22921.0,2503.0,2387.0,629.0,0.0274,805.0,24.0
Honduras,2020-07-07,24665.0,2693.0,2585.0,656.0,0.0266,1744.0,27.0
Honduras,2020-07-09,25428.0,2776.0,2637.0,677.0,0.0266,763.0,21.0
Honduras,2020-07-10,25978.0,2837.0,2721.0,694.0,0.0267,550.0,17.0
Honduras,2020-07-11,26384.0,2881.0,2779.0,704.0,0.0267,406.0,10.0
Honduras,2020-07-12,27053.0,2954.0,2850.0,750.0,0.0277,669.0,46.0
Honduras,2020-07-13,27583.0,3012.0,0.0,771.0,0.027999999999999997,530.0,21.0
Honduras,2020-07-14,28579.0,3121.0,0.0,789.0,0.0276,996.0,18.0
Honduras,2020-07-15,28579.0,3121.0,0.0,789.0,0.0276,0.0,0.0
Honduras,2020-07-16,28579.0,3121.0,0.0,789.0,0.0276,0.0,0.0
Honduras,2020-07-18,31745.0,3466.0,0.0,857.0,0.027000000000000003,3166.0,68.0
Honduras,2020-07-19,31745.0,3466.0,3565.0,878.0,0.0277,0.0,21.0
Honduras,2020-07-19,32793.0,3581.0,0.0,891.0,0.0272,1048.0,13.0
