Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
French Guiana,2020-03-31,43.0,150.79,0.0,0.0,0.0,,,0.0,0.0
French Guiana,2020-04-01,43.0,150.79,0.0,0.0,0.0,,,0.0,0.0
French Guiana,2020-04-02,51.0,178.84,0.0,0.0,0.0,,,8.0,0.0
French Guiana,2020-04-03,51.0,178.84,0.0,0.0,0.0,,,0.0,0.0
French Guiana,2020-04-07,61.0,213.9,6.0,0.0,0.0,,,10.0,0.0
French Guiana,2020-04-10,83.0,291.05,43.0,0.0,0.0,,,22.0,0.0
French Guiana,2020-04-11,86.0,301.57,49.0,1.0,0.011627906976744186,,,3.0,1.0
French Guiana,2020-04-12,86.0,301.57,51.0,0.0,0.0,,,0.0,0.0
French Guiana,2020-04-14,88.0,308.58,53.0,0.0,0.0,,,2.0,0.0
French Guiana,2020-04-17,96.0,336.64,61.0,0.0,0.0,,,8.0,0.0
French Guiana,2020-04-18,96.0,336.64,64.0,0.0,0.0,,,0.0,0.0
French Guiana,2020-04-20,97.0,340.14,69.0,0.0,0.0,,,1.0,0.0
French Guiana,2020-04-22,96.0,336.64,0.0,0.0,0.0,,,0.0,0.0
French Guiana,2020-04-23,97.0,340.14,0.0,1.0,0.010309278350515464,,,1.0,1.0
French Guiana,2020-04-24,97.0,340.14,0.0,1.0,0.010309278350515464,,,0.0,0.0
French Guiana,2020-04-25,107.0,375.21,0.0,1.0,0.009345794392523364,,,10.0,0.0
French Guiana,2020-04-26,109.0,382.22,0.0,1.0,0.009174311926605505,,,2.0,0.0
French Guiana,2020-04-27,109.0,382.22,0.0,1.0,0.009174311926605505,,,0.0,0.0
French Guiana,2020-04-28,109.0,382.22,0.0,1.0,0.009174311926605505,,,0.0,0.0
French Guiana,2020-04-29,111.0,389.24,0.0,1.0,0.009009009009009007,,,2.0,0.0
French Guiana,2020-04-30,111.0,389.24,0.0,1.0,0.009009009009009007,,,0.0,0.0
French Guiana,2020-05-01,125.0,438.0,0.0,1.0,0.008,,,14.0,0.0
French Guiana,2020-05-02,126.0,442.0,0.0,1.0,0.007936507936507936,,,1.0,0.0
French Guiana,2020-05-03,128.0,449.0,0.0,1.0,0.0078125,,,2.0,0.0
French Guiana,2020-05-04,128.0,449.0,0.0,1.0,0.0078125,,,0.0,0.0
French Guiana,2020-05-05,128.0,449.0,0.0,1.0,0.0078125,,,0.0,0.0
French Guiana,2020-05-06,126.0,442.0,0.0,1.0,0.007936507936507936,,,0.0,0.0
French Guiana,2020-05-07,128.0,449.0,0.0,1.0,0.0078125,,,2.0,0.0
French Guiana,2020-05-08,138.0,484.0,0.0,1.0,0.007246376811594203,,,10.0,0.0
French Guiana,2020-05-09,138.0,484.0,0.0,1.0,0.007246376811594203,,,0.0,0.0
French Guiana,2020-05-10,141.0,494.0,0.0,1.0,0.007092198581560284,,,3.0,0.0
French Guiana,2020-05-11,141.0,494.0,0.0,1.0,0.007092198581560284,,,0.0,0.0
French Guiana,2020-05-12,144.0,505.0,0.0,1.0,0.006944444444444444,,,3.0,0.0
French Guiana,2020-05-13,144.0,505.0,0.0,1.0,0.006944444444444444,,,0.0,0.0
French Guiana,2020-05-15,146.0,512.0,0.0,1.0,0.00684931506849315,,,2.0,0.0
French Guiana,2020-05-16,164.0,575.0,0.0,1.0,0.006097560975609756,,,18.0,0.0
French Guiana,2020-05-17,164.0,575.0,0.0,1.0,0.006097560975609756,,,0.0,0.0
French Guiana,2020-05-18,189.0,663.0,0.0,1.0,0.005291005291005291,,,25.0,0.0
French Guiana,2020-05-19,197.0,691.0,0.0,1.0,0.005076142131979695,,,8.0,0.0
French Guiana,2020-05-20,197.0,691.0,0.0,1.0,0.005076142131979695,,,0.0,0.0
,2020-05-21,,,,,,,,,
French Guiana,2020-05-22,210.0,736.0,0.0,1.0,0.0047619047619047615,,,,
French Guiana,2020-05-23,237.0,831.0,0.0,1.0,0.004219409282700422,,,27.0,0.0
French Guiana,2020-05-24,249.0,873.0,0.0,1.0,0.004016064257028112,,,12.0,0.0
French Guiana,2020-05-25,261.0,915.0,0.0,1.0,0.0038314176245210726,,,12.0,0.0
French Guiana,2020-05-26,279.0,978.0,0.0,1.0,0.003584229390681004,,,18.0,0.0
French Guiana,2020-05-27,279.0,978.0,0.0,1.0,0.003584229390681004,,,0.0,0.0
French Guiana,2020-05-28,353.0,1238.0,0.0,1.0,0.0028328611898017,,,74.0,0.0
French Guiana,2020-05-29,384.0,1347.0,0.0,1.0,0.0026041666666666665,,,31.0,0.0
French Guiana,2020-05-30,409.0,1434.0,0.0,1.0,0.002444987775061125,,,25.0,0.0
French Guiana,2020-05-31,436.0,1529.0,0.0,1.0,0.0022935779816513767,,,27.0,0.0
