Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Philippines,2020-03-31,1546.0,14.83,42.0,78.0,0.050452780999999995,0.0,0.0
Philippines,2020-04-01,2311.0,22.17,50.0,96.0,0.04154045867589788,765.0,18.0
Philippines,2020-04-02,2311.0,22.17,50.0,96.0,0.04154045867589788,0.0,0.0
Philippines,2020-04-03,2633.0,25.26,51.0,107.0,0.04063805545005697,322.0,11.0
Philippines,2020-04-07,3660.0,33.74,73.0,163.0,0.044535519125683064,1027.0,56.0
Philippines,2020-04-10,4076.0,37.57,124.0,203.0,0.04980372914622178,416.0,40.0
Philippines,2020-04-11,4195.0,38.67,140.0,221.0,0.05268176400476758,119.0,18.0
Philippines,2020-04-12,4428.0,40.82,157.0,247.0,0.055781391147244806,233.0,26.0
Philippines,2020-04-14,4932.0,45.46,242.0,315.0,0.06386861313868614,504.0,68.0
Philippines,2020-04-17,5660.0,52.17,435.0,362.0,0.06395759717314488,728.0,47.0
Philippines,2020-04-18,6087.0,56.11,516.0,397.0,0.06522096270740924,427.0,35.0
Philippines,2020-04-20,6259.0,57.69,572.0,409.0,0.06534590190126219,172.0,12.0
Philippines,2020-04-22,6599.0,60.83,654.0,437.0,0.0662221548719503,340.0,28.0
Philippines,2020-04-23,6710.0,61.85,693.0,446.0,0.06646795827123696,111.0,9.0
Philippines,2020-04-24,7192.0,66.29,762.0,477.0,0.06632369299221356,482.0,31.0
Philippines,2020-04-25,7192.0,66.29,762.0,477.0,0.06632369299221356,0.0,0.0
Philippines,2020-04-26,7294.0,67.23,792.0,494.0,0.06772689882094872,102.0,17.0
Philippines,2020-04-27,7579.0,69.86,862.0,501.0,0.06610370761314158,285.0,7.0
Philippines,2020-04-28,7777.0,71.69,932.0,511.0,0.06570657065706571,198.0,10.0
Philippines,2020-04-29,7958.0,73.35,975.0,530.0,0.06659964815280221,181.0,19.0
Philippines,2020-04-30,7958.0,73.35,975.0,530.0,0.06659964815280221,0.0,0.0
Philippines,2020-05-01,8488.0,78.0,1043.0,568.0,0.06691800188501414,530.0,38.0
Philippines,2020-05-02,8772.0,81.0,1084.0,579.0,0.06600547195622435,284.0,11.0
Philippines,2020-05-03,8928.0,82.0,1124.0,603.0,0.06754032258064516,156.0,24.0
Philippines,2020-05-04,9223.0,85.0,1214.0,607.0,0.06581372655318228,295.0,4.0
Philippines,2020-05-05,9485.0,87.0,1315.0,623.0,0.06568265682656826,262.0,16.0
Philippines,2020-05-06,9684.0,89.0,1408.0,637.0,0.0657786038826931,199.0,14.0
Philippines,2020-05-07,10004.0,92.0,1506.0,658.0,0.06577369052379048,320.0,21.0
Philippines,2020-05-08,10343.0,95.0,1618.0,685.0,0.06622836701150536,339.0,27.0
Philippines,2020-05-09,10463.0,96.0,1734.0,696.0,0.06652011851285483,120.0,11.0
Philippines,2020-05-10,10794.0,99.0,1924.0,719.0,0.06661108022975727,331.0,23.0
Philippines,2020-05-11,10794.0,99.0,1924.0,719.0,0.06661108022975727,0.0,0.0
Philippines,2020-05-12,11350.0,105.0,2106.0,751.0,0.06616740088105727,556.0,32.0
Philippines,2020-05-13,11618.0,107.0,2251.0,772.0,0.06644861421931486,268.0,21.0
Philippines,2020-05-15,11876.0,109.0,2337.0,790.0,0.06652071404513303,258.0,18.0
Philippines,2020-05-16,12091.0,111.0,2460.0,806.0,0.06666115292366223,215.0,16.0
Philippines,2020-05-17,12305.0,113.0,2561.0,817.0,0.06639577407557902,214.0,11.0
Philippines,2020-05-18,12513.0,115.0,2635.0,824.0,0.06585151442499801,208.0,7.0
Philippines,2020-05-19,12718.0,117.0,2729.0,831.0,0.06534046233684541,205.0,7.0
Philippines,2020-05-20,12942.0,119.0,2843.0,837.0,0.06467315716272601,224.0,6.0
,2020-05-21,,,,,,,
Philippines,2020-05-22,13597.0,125.0,3092.0,857.0,0.06302860925204089,,
Philippines,2020-05-23,13597.0,125.0,3092.0,857.0,0.06302860925204089,0.0,0.0
Philippines,2020-05-24,13777.0,127.0,3177.0,863.0,0.06264063293895622,180.0,6.0
Philippines,2020-05-25,14035.0,129.0,3249.0,868.0,0.061845386533665836,258.0,5.0
Philippines,2020-05-26,14319.0,132.0,3323.0,873.0,0.060967944688874925,284.0,5.0
Philippines,2020-05-27,14669.0,135.0,3412.0,886.0,0.060399481900606726,350.0,13.0
Philippines,2020-05-28,15049.0,139.0,3506.0,904.0,0.06007043657385872,380.0,18.0
Philippines,2020-05-29,15558.0,143.0,3598.0,921.0,0.05919784033937524,509.0,17.0
Philippines,2020-05-30,16634.0,153.0,3720.0,942.0,0.05663099675363713,1076.0,21.0
Philippines,2020-05-31,17224.0,159.0,3808.0,950.0,0.05515559684161635,590.0,8.0
Philippines,2020-06-01,18086.0,167.0,3909.0,957.0,0.052913856021231886,862.0,7.0
Philippines,2020-06-02,18638.0,172.0,3979.0,960.0,0.05150767249704904,552.0,3.0
Philippines,2020-06-03,18997.0,175.0,4063.0,966.0,0.0509,359.0,6.0
Philippines,2020-06-04,20382.0,188.0,4248.0,984.0,0.0483,1385.0,18.0
Philippines,2020-06-05,20382.0,188.0,4248.0,984.0,0.0483,0.0,0.0
Philippines,2020-06-06,20626.0,190.0,4330.0,987.0,0.0479,244.0,3.0
Philippines,2020-06-07,21340.0,197.0,4441.0,994.0,0.0466,714.0,7.0
Philippines,2020-06-08,21895.0,202.0,4530.0,1003.0,0.0458,555.0,9.0
Philippines,2020-06-09,22474.0,207.0,4637.0,1011.0,0.045,579.0,8.0
Philippines,2020-06-10,22992.0,212.0,4736.0,1017.0,0.0442,518.0,6.0
Philippines,2020-06-12,24175.0,223.0,5165.0,1036.0,0.0429,1183.0,19.0
Philippines,2020-06-13,24787.0,228.0,5454.0,1052.0,0.0424,612.0,16.0
Philippines,2020-06-14,25392.0,234.0,5706.0,1074.0,0.0423,605.0,22.0
Philippines,2020-06-15,25930.0,239.0,5954.0,1088.0,0.042,538.0,14.0
Philippines,2020-06-16,26420.0,244.0,6252.0,1098.0,0.0416,490.0,10.0
Philippines,2020-06-17,26781.0,247.0,6552.0,1103.0,0.0412,361.0,5.0
Philippines,2020-06-18,27799.0,256.0,7090.0,1116.0,0.0401,1018.0,13.0
Philippines,2020-06-19,27799.0,256.0,7090.0,1116.0,0.0401,0.0,0.0
Philippines,2020-06-20,28459.0,262.0,7378.0,1130.0,0.0397,660.0,14.0
Philippines,2020-06-21,29400.0,271.0,7650.0,1150.0,0.0391,941.0,20.0
Philippines,2020-06-22,30052.0,277.0,7893.0,1169.0,0.0389,652.0,19.0
Philippines,2020-06-23,30682.0,283.0,8143.0,1177.0,0.0384,630.0,8.0
Philippines,2020-06-24,31825.0,293.0,8442.0,1186.0,0.0373,1143.0,9.0
Philippines,2020-06-25,32295.0,298.0,8656.0,1204.0,0.0373,470.0,18.0
