Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Bosnia and Herzegovina,2020-03-31,371.0,113.26,17.0,10.0,0.026954178,0.0,0.0
Bosnia and Herzegovina,2020-04-01,420.0,128.22,17.0,13.0,0.030952380952380957,49.0,3.0
Bosnia and Herzegovina,2020-04-02,459.0,140.12,19.0,13.0,0.02832244008714597,39.0,0.0
Bosnia and Herzegovina,2020-04-03,533.0,162.72,20.0,16.0,0.0300187617260788,74.0,3.0
Bosnia and Herzegovina,2020-04-07,674.0,204.18,47.0,29.0,0.043026706231454014,141.0,13.0
Bosnia and Herzegovina,2020-04-10,858.0,259.92,101.0,35.0,0.040792540792540785,184.0,6.0
Bosnia and Herzegovina,2020-04-11,901.0,272.95,129.0,37.0,0.04106548279689234,43.0,2.0
Bosnia and Herzegovina,2020-04-12,941.0,285.07,139.0,37.0,0.039319872476089264,40.0,0.0
Bosnia and Herzegovina,2020-04-14,941.0,285.07,139.0,37.0,0.039319872476089264,0.0,0.0
,2020-04-17,,,,,,,
Bosnia and Herzegovina,2020-04-18,0.0,0.0,0.0,0.0,,,
Bosnia and Herzegovina,2020-04-20,0.0,0.0,0.0,0.0,,0.0,0.0
Bosnia and Herzegovina,2020-04-22,1342.0,406.54,437.0,51.0,0.03800298062593144,1342.0,51.0
Bosnia and Herzegovina,2020-04-23,1368.0,414.42,460.0,53.0,0.03874269005847953,26.0,2.0
Bosnia and Herzegovina,2020-04-24,1413.0,428.05,485.0,54.0,0.03821656050955414,45.0,1.0
Bosnia and Herzegovina,2020-04-25,1421.0,430.48,538.0,55.0,0.03870513722730472,8.0,1.0
Bosnia and Herzegovina,2020-04-26,1486.0,450.17,592.0,57.0,0.03835800807537012,65.0,2.0
Bosnia and Herzegovina,2020-04-27,1516.0,459.25,624.0,59.0,0.03891820580474934,30.0,2.0
Bosnia and Herzegovina,2020-04-28,1565.0,474.1,659.0,60.0,0.038338658146964855,49.0,1.0
Bosnia and Herzegovina,2020-04-29,1585.0,480.16,682.0,63.0,0.03974763406940063,20.0,3.0
Bosnia and Herzegovina,2020-04-30,1585.0,480.16,682.0,63.0,0.03974763406940063,0.0,0.0
Bosnia and Herzegovina,2020-05-01,1757.0,532.0,727.0,69.0,0.03927148548662493,172.0,6.0
Bosnia and Herzegovina,2020-05-02,1781.0,540.0,755.0,70.0,0.03930376193149916,24.0,1.0
Bosnia and Herzegovina,2020-05-03,1839.0,557.0,779.0,72.0,0.03915171288743882,58.0,2.0
Bosnia and Herzegovina,2020-05-04,1839.0,557.0,779.0,72.0,0.03915171288743882,0.0,0.0
Bosnia and Herzegovina,2020-05-05,1926.0,583.0,855.0,78.0,0.04049844236760125,87.0,6.0
Bosnia and Herzegovina,2020-05-06,1946.0,590.0,911.0,79.0,0.04059609455292909,20.0,1.0
Bosnia and Herzegovina,2020-05-07,1987.0,602.0,928.0,86.0,0.04328132863613488,41.0,7.0
Bosnia and Herzegovina,2020-05-08,2027.0,614.0,954.0,90.0,0.04440059200789344,40.0,4.0
Bosnia and Herzegovina,2020-05-09,2070.0,627.0,960.0,98.0,0.04734299516908213,43.0,8.0
Bosnia and Herzegovina,2020-05-10,2090.0,633.0,1059.0,102.0,0.04880382775119617,20.0,4.0
Bosnia and Herzegovina,2020-05-11,2117.0,641.0,1106.0,107.0,0.050543221539914966,27.0,5.0
Bosnia and Herzegovina,2020-05-12,2141.0,649.0,1114.0,113.0,0.052779075198505374,24.0,6.0
Bosnia and Herzegovina,2020-05-13,2158.0,654.0,1168.0,117.0,0.05421686746987952,17.0,4.0
Bosnia and Herzegovina,2020-05-15,2218.0,672.0,1272.0,122.0,0.055004508566275916,60.0,5.0
Bosnia and Herzegovina,2020-05-16,2236.0,677.0,1336.0,128.0,0.05724508050089445,18.0,6.0
Bosnia and Herzegovina,2020-05-17,2267.0,687.0,1355.0,129.0,0.056903396559329515,31.0,1.0
Bosnia and Herzegovina,2020-05-18,2290.0,694.0,1436.0,133.0,0.058078602620087336,23.0,4.0
Bosnia and Herzegovina,2020-05-19,2304.0,698.0,1464.0,133.0,0.05772569444444445,14.0,0.0
Bosnia and Herzegovina,2020-05-20,2321.0,703.0,1522.0,134.0,0.057733735458853935,17.0,1.0
,2020-05-21,,,,,,,
Bosnia and Herzegovina,2020-05-22,2350.0,712.0,1596.0,140.0,0.059574468085106386,,
Bosnia and Herzegovina,2020-05-23,2372.0,719.0,1614.0,141.0,0.059443507588532875,22.0,1.0
Bosnia and Herzegovina,2020-05-24,2391.0,724.0,1662.0,141.0,0.058971141781681315,19.0,0.0
Bosnia and Herzegovina,2020-05-25,2401.0,727.0,1680.0,144.0,0.0599750104123282,10.0,3.0
Bosnia and Herzegovina,2020-05-26,2406.0,729.0,1696.0,146.0,0.060681629260182876,5.0,2.0
Bosnia and Herzegovina,2020-05-27,2416.0,732.0,1721.0,149.0,0.06167218543046357,10.0,3.0
Bosnia and Herzegovina,2020-05-28,2435.0,738.0,1744.0,151.0,0.062012320328542085,19.0,2.0
Bosnia and Herzegovina,2020-05-29,2462.0,746.0,1781.0,153.0,0.06214459788789601,27.0,2.0
Bosnia and Herzegovina,2020-05-30,2485.0,753.0,1803.0,153.0,0.06156941649899396,23.0,0.0
Bosnia and Herzegovina,2020-05-31,2494.0,756.0,1831.0,153.0,0.06134723336006415,9.0,0.0
Bosnia and Herzegovina,2020-06-01,2510.0,760.0,1862.0,153.0,0.060956175298804774,16.0,0.0
Bosnia and Herzegovina,2020-06-02,2524.0,765.0,1888.0,154.0,0.06101426307448495,14.0,1.0
Bosnia and Herzegovina,2020-06-03,2535.0,768.0,1910.0,157.0,0.0619,11.0,3.0
Bosnia and Herzegovina,2020-06-04,2551.0,773.0,1939.0,157.0,0.0615,16.0,0.0
Bosnia and Herzegovina,2020-06-05,2594.0,786.0,1951.0,159.0,0.0613,43.0,2.0
Bosnia and Herzegovina,2020-06-06,2606.0,789.0,1968.0,159.0,0.061,12.0,0.0
Bosnia and Herzegovina,2020-06-07,2606.0,789.0,1968.0,159.0,0.061,0.0,0.0
Bosnia and Herzegovina,2020-06-08,2606.0,789.0,1968.0,159.0,0.061,0.0,0.0
Bosnia and Herzegovina,2020-06-09,2704.0,819.0,2023.0,160.0,0.0592,98.0,1.0
Bosnia and Herzegovina,2020-06-10,2728.0,826.0,2049.0,160.0,0.0587,24.0,0.0
