Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Austria,2020-03-31,9618,1227.41,636,108,0.011228946,0,0
Austria,2020-04-01,10088,1287.39,1095,128,0.012688342585249802,470,20
Austria,2020-04-02,10711,1366.9,1436,146,0.013630846793016524,623,18
Austria,2020-04-03,11129,1420.24,1749,158,0.014197142600413338,418,12
Austria,2020-04-07,12297,1381.28,220,3441,0.2798243474018053,1168,3283
Austria,2020-04-10,13246,1487.88,5240,295,0.02227087422618149,949,0
Austria,2020-04-11,13560,1523.15,6064,319,0.023525073746312686,314,24
Austria,2020-04-12,13798,1549.88,6604,337,0.024423829540513118,238,18
Austria,2020-04-14,14043,1577.4,7343,368,0.02620522680338959,245,31
Austria,2020-04-17,14475,1625.93,8986,410,0.028324697754749568,432,42
Austria,2020-04-18,14595,1639.41,9704,431,0.029530661185337443,120,21
Austria,2020-04-20,14710,1652.33,10501,452,0.030727396329027868,115,21
Austria,2020-04-22,14812,1663.78,10971,454,0.03065082365649473,102,2
Austria,2020-04-23,14917,1675.58,11328,510,0.03418918013005296,105,56
Austria,2020-04-24,14932,1677.26,11694,522,0.034958478435574605,15,12
Austria,2020-04-25,15068,1692.54,11872,530,0.03517387841783913,136,8
Austria,2020-04-26,15128,1699.28,12103,536,0.03543098889476468,60,6
Austria,2020-04-27,15188,1706.02,12282,542,0.0356860679483803,60,6
Austria,2020-04-28,15256,1713.66,12362,549,0.03598584163607761,68,7
Austria,2020-04-29,15314,1720.17,12580,569,0.03715554394671542,58,20
Austria,2020-04-30,15314,1720.17,12580,569,0.03715554394671542,0,0
Austria,2020-05-01,15450,1735.0,12907,584,0.03779935275080906,136,15
Austria,2020-05-02,15478,1739.0,13092,589,0.03805401214627213,28,5
Austria,2020-05-03,15531,1745.0,13180,596,0.03837486317687206,53,7
Austria,2020-05-04,15531,1745.0,13228,598,0.03850363788551928,0,2
Austria,2020-05-05,15597,1752.0,13316,600,0.03846893633391037,66,2
Austria,2020-05-06,15586,1751.0,13462,606,0.038881047093545486,0,6
Austria,2020-05-07,15650,1758.0,13639,608,0.03884984025559105,64,2
Austria,2020-05-08,15673,1760.0,13698,609,0.038856632425189816,23,1
Austria,2020-05-09,15736,1768.0,13836,614,0.039018810371123536,63,5
Austria,2020-05-10,15775,1772.0,13928,615,0.03898573692551505,39,1
Austria,2020-05-11,15786,1773.0,13991,618,0.03914861269479285,11,3
Austria,2020-05-12,15874,1783.0,14061,620,0.03905757843013733,88,2
Austria,2020-05-13,15910,1787.0,14148,623,0.039157762413576366,36,3
Austria,2020-05-15,16026,1800.0,14405,626,0.03906152502183951,116,3
Austria,2020-05-16,16065,1805.0,14471,628,0.0390911920323685,39,2
Austria,2020-05-17,16135,1812.0,14471,628,0.038921599008366906,70,0
Austria,2020-05-18,16176,1817.0,14563,629,0.03888476755687438,41,1
Austria,2020-05-19,16230,1823.0,14614,629,0.038755391250770176,54,0
Austria,2020-05-20,16272,1828.0,14678,632,0.03883972468043265,42,3
Austria,2020-05-21,16319,1833.0,14882,633,0.03878914149151296,47,1
Austria,2020-05-22,16353,1837.0,14951,633,0.03870849385433865,34,0
Austria,2020-05-23,16391,1841.0,15005,635,0.03874077237508389,38,2
Austria,2020-05-24,16419,1844.0,15035,639,0.0389183263292527,28,4
