Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Belgium,2020-03-31,11899,1154.43,1527,513,0.043112867,0,0
Belgium,2020-04-01,12775,1239.42,1696,705,0.055185909980430534,876,192
Belgium,2020-04-02,13964,1354.78,2132,828,0.0592953308507591,1189,123
Belgium,2020-04-03,15348,1489.05,2495,1011,0.06587177482408131,1384,183
Belgium,2020-04-07,20814,1806.07,3986,1632,0.07840876333237244,5466,621
Belgium,2020-04-10,24983,2167.83,5164,2523,0.10098867229716207,4169,891
Belgium,2020-04-11,26667,2313.95,5568,3019,0.11321108486143926,1684,496
Belgium,2020-04-12,28018,2431.18,5986,3346,0.11942322792490542,1351,327
Belgium,2020-04-14,30589,2654.27,6707,3903,0.12759488705090066,2571,557
Belgium,2020-04-17,34809,3020.45,7526,4857,0.1395328794277342,4220,954
Belgium,2020-04-18,36138,3135.77,7961,5163,0.14286900215839282,1329,306
Belgium,2020-04-20,38496,3340.38,8757,5683,0.14762572734829593,2358,520
Belgium,2020-04-22,40956,3553.83,9002,5998,0.1464498486180291,2460,315
Belgium,2020-04-23,41889,3634.79,9434,6262,0.14949031965432452,933,264
Belgium,2020-04-24,42797,3713.58,9800,6490,0.15164614342126784,908,228
Belgium,2020-04-25,44293,3843.39,10122,6679,0.1507913214277651,1496,189
Belgium,2020-04-26,45325,3932.94,10417,6917,0.15260893546607832,1032,238
Belgium,2020-04-27,46134,4003.14,10785,7094,0.15376945419863874,809,177
Belgium,2020-04-28,46687,4051.12,10878,7207,0.1543684537451539,553,113
Belgium,2020-04-29,47334,4107.27,10943,7331,0.15487810030844634,647,124
Belgium,2020-04-30,47334,4107.27,10943,7331,0.15487810030844634,0,0
Belgium,2020-05-01,48519,4210.0,11576,7594,0.15651600403965454,1185,263
Belgium,2020-05-02,49032,4255.0,11892,7703,0.15710148474465654,513,109
Belgium,2020-05-03,49517,4297.0,12211,7765,0.15681483127006887,485,62
Belgium,2020-05-04,49906,4330.0,12309,7844,0.15717548992105154,389,79
Belgium,2020-05-05,50267,4362.0,12378,7924,0.15763821194819666,361,80
Belgium,2020-05-06,50509,4383.0,12441,8016,0.15870438931675546,242,92
Belgium,2020-05-07,50781,4406.0,12731,8339,0.1642149622890451,272,323
Belgium,2020-05-08,51420,4462.0,12980,8415,0.16365227537922988,639,76
Belgium,2020-05-09,52011,4513.0,13201,8552,0.16442675587856415,591,137
Belgium,2020-05-10,52596,4564.0,13411,8581,0.16314928891930947,585,29
Belgium,2020-05-11,53081,4606.0,13642,8656,0.16307153218665812,485,75
Belgium,2020-05-12,53779,4667.0,13732,8761,0.16290745458264375,698,105
Belgium,2020-05-13,53981,4684.0,13937,8843,0.1638168985383746,202,82
Belgium,2020-05-15,54288,4711.0,14111,8903,0.1639957264957265,307,60
Belgium,2020-05-16,54644,4742.0,14301,8959,0.16395212649147206,356,56
Belgium,2020-05-17,54989,4772.0,14460,9005,0.16376002473221918,345,46
Belgium,2020-05-18,55280,4797.0,14630,9052,0.16374819102749638,291,47
